,sequence,labels,scores
15,im also very new to espresso but i recommend getting a 1 ounce espresso cup and once it is full you turn it off one ounce is one shot of espresso so if you want 2 shot use 2 one ounce cup then after brewing your shot you can pour them into your big cup hope this help haha,"['usability', 'video', 'not usability']","[0.8255206942558289, 0.11345800012350082, 0.061021286994218826]"
16,i bought a similar machine i love it so much and decided to start a youtube channel making very nice drink with it you did a great review my video are coming soon,"['video', 'usability', 'not usability']","[0.5246418714523315, 0.46323493123054504, 0.012123176828026772]"
17,we warm our milk to 140 degree and end up with half foam half milk she mention removing a metal piece on the want but we do not see how any suggestion we are wasting a lot of milk other than that love the machine,"['usability', 'not usability', 'video']","[0.6240261197090149, 0.28480422496795654, 0.09116960316896439]"
18,you probably already figured this out by now but the metal tube on the wand twist off,"['usability', 'video', 'not usability']","[0.7298782467842102, 0.16656295955181122, 0.10355881601572037]"
19,this video is very helpful my machine is weird i used to be a barista and could make pretty decent coffee and froth milk and get microfoam with this one nah when the machine say the frothing setting is on it will work for about 12seconds and then get weak and stop the green light will come off a if the water got cold then i have to wait till it come on again it is always interrupted never just one time,"['video', 'usability', 'not usability']","[0.8031224608421326, 0.1576996147632599, 0.03917793929576874]"
20,i am having the same issue one strategy i found helpful is to let it prime a little longer after the green light come on like 3 5 extra minute hope this help,"['usability', 'video', 'not usability']","[0.6359561681747437, 0.3102076053619385, 0.053836263716220856]"
21,out of 14 gram of coffee how many gram of brew,"['usability', 'video', 'not usability']","[0.8101600408554077, 0.10493306815624237, 0.0849069356918335]"
22,about 43 gram,"['usability', 'video', 'not usability']","[0.6142491698265076, 0.24011236429214478, 0.14563846588134766]"
23,when i am doing my espresso it is always water coming out from the evaporator why any help please,"['usability', 'video', 'not usability']","[0.5981925129890442, 0.20384499430656433, 0.19796249270439148]"
24,u have to rinse them out a u can see in this video,"['video', 'usability', 'not usability']","[0.9396789073944092, 0.057662200182676315, 0.0026588873006403446]"
25,this machine only work with ground coffee i use my grinder and the machine make a lot of noise and do not brew and spit the water from the frot not from the portafilter is a mess can someone help me pls,"['not usability', 'usability', 'video']","[0.5919314622879028, 0.3445203900337219, 0.06354818493127823]"
26,is this the same a stilosa 235 bk,"['usability', 'video', 'not usability']","[0.5890676379203796, 0.23404797911643982, 0.17688436806201935]"
27,i would like to comment that on this machine you have to stop the dial when making your shot i time mine to about 30 second for the double shot and i like it that way good luck,"['usability', 'video', 'not usability']","[0.414821058511734, 0.3692704737186432, 0.215908482670784]"
28,update for a double shot i usually stop it around the 17 second mark it depends on the espresso and the grind but i find that with some brand more than 20 second end up tasting pretty watery,"['video', 'usability', 'not usability']","[0.616308331489563, 0.2950614094734192, 0.08863021433353424]"
29,thank you,"['usability', 'video', 'not usability']","[0.5334405303001404, 0.3928794264793396, 0.07368001341819763]"
30,this is why i came here,"['usability', 'video', 'not usability']","[0.6504480838775635, 0.27997249364852905, 0.06957937031984329]"
31,this is exactly what i wa wondering so then should i fill the water well all the way or should i also try to measure guess how much water to use for one serving this is my only complaint with this machine i do not want to guess when my brew is finished,"['not usability', 'usability', 'video']","[0.7436210513114929, 0.214691162109375, 0.04168778657913208]"
32,okay thanks i wa thinking the machine wa going to stop on it own and it never dead lol so i appreciate that i wa wondering how much a shot would be,"['usability', 'video', 'not usability']","[0.5181562900543213, 0.30298569798469543, 0.1788579672574997]"
33,just bought this machine and have had really terrible shot the espresso come out unbelievably watery i have fiddled with the grind tamp pressure etc but still no luck doe anyone have any suggestion really want to give this a chance before returning it,"['not usability', 'usability', 'video']","[0.614784300327301, 0.3465362787246704, 0.03867937996983528]"
34,ana mcdonald how many ml do you end up with at 30seconds i got like 105 and i stopped at 25seconds taste watered down,"['video', 'usability', 'not usability']","[0.4156464636325836, 0.3428257405757904, 0.24152785539627075]"
35,i time my shot right from the first drop i start the timer and leave it for 30 second then stop the machine it a little annoying to have to time them every time but worth it since this machine doe not stop on it own,"['usability', 'video', 'not usability']","[0.6197317242622375, 0.3415243327617645, 0.03874395787715912]"
36,so is the bigger filter for a double shot amp the smaller filter a single shot trying to figure it out,"['usability', 'video', 'not usability']","[0.5039610266685486, 0.40557190775871277, 0.09046699851751328]"
37,yes that is correct,"['video', 'usability', 'not usability']","[0.5055868029594421, 0.40011245012283325, 0.0943007692694664]"
38,doe the green ready light go off and on while you are frothing mine doe also i like to steam my milk to 160 degree so there are time when the steam stop altogether or slows to a slightly audible hiss i have to turn off the steam wait a few second then steam again but in doing this i get water mixed with steam for a few second afterward sometimes the steam quits mid frothing sometimes not i have experimented using a glass bowl to watch how the steam peforms and it is inconsistent at best any input here also there is a tiny indentation in the silver frothing sleeve about 1 4 inch from the top collar is this an air intake if so why is it sealed,"['usability', 'video', 'not usability']","[0.711616039276123, 0.19045743346214294, 0.09792652726173401]"
39,doe it come with the pitcher,"['usability', 'video', 'not usability']","[0.7498953938484192, 0.16710270941257477, 0.08300185948610306]"
40,no,"['not usability', 'usability', 'video']","[0.727828323841095, 0.13775664567947388, 0.13441510498523712]"
41,i like the delonghi also i am very interested in the grinder can anyone tell me the make and the model of the grinder thanks so much in advance my email is chungchencho icloud com,"['usability', 'video', 'not usability']","[0.5362257361412048, 0.23838546872138977, 0.2253887802362442]"
42,how do you know when to stop,"['usability', 'video', 'not usability']","[0.6274498701095581, 0.20063966512680054, 0.17191047966480255]"
43,time it i start my stopwatch on the first drop i see i leave for 30 second then stop the dial thats for a double shot,"['usability', 'video', 'not usability']","[0.49475470185279846, 0.4802530109882355, 0.024992257356643677]"
44,how to change the basket when i first bought it the basket wa already in the portafilter and i can not get it out,"['usability', 'not usability', 'video']","[0.5801737904548645, 0.22222766280174255, 0.19759851694107056]"
45,hi i use a wooden spoon fork thing there should be a little gap near the handle where you can insert something under the basket lip to apply leverage to the basket,"['usability', 'video', 'not usability']","[0.7672469019889832, 0.13411855697631836, 0.09863448888063431]"
46,i love how your video are naturally presented with these beautiful little mistake tx scg,"['video', 'usability', 'not usability']","[0.9045758843421936, 0.09011518955230713, 0.005308930296450853]"
47,kannon keanu scammer,"['not usability', 'video', 'usability']","[0.5494749546051025, 0.3242293894290924, 0.12629565596580505]"
48,kannon keanu instablaster,"['video', 'usability', 'not usability']","[0.7323774695396423, 0.23217611014842987, 0.03544637933373451]"
49,i know im asking the wrong place but doe any of you know of a way to get back into an instagram account i wa stupid forgot my account password i appreciate any tip you can give me,"['not usability', 'usability', 'video']","[0.5616806745529175, 0.33684176206588745, 0.10147760808467865]"
50,hi im having problem with my shot it doe not have any crema or bubbling,"['not usability', 'video', 'usability']","[0.6257725358009338, 0.18969793617725372, 0.18452955782413483]"
51,this machine is full of rubber hose and soft plastic it water temperature is too high and overextracts coffee if you knew what you are taliking about you would have 1 run water through the machine several time before 2 tasted the espresso without the milk 3 shown the water tank is made out of white soft plastic with bpas and 4 would have noticed the basket filter is 50percent rubber which would have hopepully doubtedly alarmed you you would know there is no such thing a a cheap and decent espresso machine because a decent espresso machine offer at least some control over the water temperature and doe not have a soft plastic water tank you would know any brand new decent espresso machine cost a lot because it would include rock solid material and technology of temperature and pressure control espresso drinking is a science and an art espresso coffee is tested first without milk actually it is not tested with milk first but you are just a sale person who display a total lack of knowledge of the espresso industry it take at least more than dollar1 000 to buy a decent machine without rubbery and plasticky material soft plastic and rubber cause cancer this machine in particular smell like rubber and leak rubbery smell all over not only because it interior is made of rubber hose and soft plastic it basket filter is made of rubber but also because it pump produce excessive pressure and heat it water at too high boiling temperature but of course you would not care to even notice that it portafilter and filter are 50percent rubber because you belong to the fast coffee culture who think expresso mean fast boiled latte and cappuccino mean steam wand this machine is for the most ignorant population and it saddens me that delonghi make such dirt i fell in this trap a a prey consumer of this cheap and rubbery machinery until i learned what it take to produce balanced and finely tuned coffee drink if you like your expressos taste like rubbery coffee go ahead and keep drinking out of unpacked rubbery machine and keep believing you can buy a brand new decent and solid espresso machine with it interior made of healthy copper and steel for le than dollar1 000 keep enjoying your commercial coffee drink might a well be all you know a far a espresso culture go,"['usability', 'not usability', 'video']","[0.4369789659976959, 0.3974461853504181, 0.1655748188495636]"
52,bro go touch some grass lmao,"['usability', 'video', 'not usability']","[0.5813907980918884, 0.3571180999279022, 0.06149110570549965]"
53,how doe it compare to the dedica from the spec it look really similar for a lower price,"['usability', 'video', 'not usability']","[0.6857486963272095, 0.21123063564300537, 0.10302064567804337]"
54,these machine are truly bad plastic interior and fake basket filter it is sooo sad,"['not usability', 'usability', 'video']","[0.8801586627960205, 0.06969279050827026, 0.0501486174762249]"
55,nah you did not taste the espresso in it pure state you do not know much about this,"['not usability', 'usability', 'video']","[0.5764043927192688, 0.2340390533208847, 0.1895565688610077]"
56,abueloraton this machine is just a simple device for prosumer use for those who want a reasonably priced espresso machine for their counter top it is not meant for professional use in a cafe or restaurant and most people are not wealthy enough to afford a dollar1 000 gigantic machine in their kitchen get a grip on what this product is designed for it is not for coffee snob,"['usability', 'not usability', 'video']","[0.70179283618927, 0.24918754398822784, 0.04901961609721184]"
57,i know enough to beat the quality of a number of coffee shop i have been to i know enough to enjoy some very nice cup of espresso and i certainly know enough to save a heck of a lot of money in the process for thing more important and long reaching than drinking espresso needing hundred or even thousand of dollar worth of equipment to have a 10 minute drink,"['usability', 'not usability', 'video']","[0.5196053981781006, 0.2754436731338501, 0.2049509435892105]"
58,anyone have leaking from bottom of the machine issue,"['usability', 'not usability', 'video']","[0.38824597001075745, 0.3795201778411865, 0.23223386704921722]"
59,this is not a leak it is some kind of overflow protection these machine are the successor of the former kenwood kmix espresso machine and they also do have this hole on the underside,"['usability', 'not usability', 'video']","[0.508422315120697, 0.32864364981651306, 0.16293399035930634]"
60,hello how much time should the coffe extraction be or how many ml should the coffe be when it ready for both single and double shot,"['usability', 'video', 'not usability']","[0.8252018094062805, 0.11666971445083618, 0.05812846124172211]"
61,abueloraton cmon you do not have to write 100 of comment about how bad this machine is reading youtube comment to understand how many people like the machine and most of the time i read a negative review it you which is annoying,"['video', 'not usability', 'usability']","[0.5340150594711304, 0.2641822099685669, 0.20180276036262512]"
62,jianli pan i do 30 second for a double lol everyone got ta find their grove with this machine since it doe not automatically stop,"['video', 'usability', 'not usability']","[0.5322157740592957, 0.43064069747924805, 0.037143535912036896]"
63,this machine is so bad it will not produce a balanced extraction no matter what,"['not usability', 'usability', 'video']","[0.9088051319122314, 0.05879397690296173, 0.03240090236067772]"
64,i am wondering the same thing,"['usability', 'video', 'not usability']","[0.48125216364860535, 0.29308587312698364, 0.225661963224411]"
65,doe the water flow stop automatically you had to turn the dial to stop,"['usability', 'video', 'not usability']","[0.666363000869751, 0.2552652955055237, 0.07837170362472534]"
66,from the little experience i have with the machine you have to stop the machine after you pull your shot i ended up with a weird americano after my first use lol,"['not usability', 'usability', 'video']","[0.43678727746009827, 0.38809698820114136, 0.175115704536438]"
67,just ordered one of these for dollar99 off best buy can not wait to try it ha to be an upgrade from my old steam powered goodwill find lol,"['usability', 'video', 'not usability']","[0.8835656046867371, 0.09162608534097672, 0.024808328598737717]"
68,but i understand everyone is frustration you should not need to mod the hell out your machine to get great coffee when you can just buy a breville lol,"['usability', 'not usability', 'video']","[0.5081700682640076, 0.3921782374382019, 0.09965168684720993]"
69,i got mine for dollar25 dollar at a salvage store intact and it really good to use a an introduction into espresso my cup come up great i use lavazza coffee once i feel comfortable enough i think i will up grade to a breville good luck,"['usability', 'video', 'not usability']","[0.7928987145423889, 0.16513563692569733, 0.04196570813655853]"
70,efren ramirez chavez yes it wa dramatically worse,"['not usability', 'video', 'usability']","[0.8035513758659363, 0.13226616382598877, 0.06418249756097794]"
71,redfishcarolina damn fr even compared to your steam powered machine,"['usability', 'video', 'not usability']","[0.6290607452392578, 0.24688290059566498, 0.1240563616156578]"
72,efren ramirez chavez it wa wretched i returned it i blew dollar30 in bean trying to get one decent cup from it but everything wa bitter sour or weak this machine is an outrageous waste of money,"['not usability', 'usability', 'video']","[0.8009098172187805, 0.14918923377990723, 0.04990092292428017]"
73,is a nice machine but even with the double shot i still need a little more punch on my coffee which make a little inconvenient because it will take me longer to make the coffee the way i like it other than that is very user friendly i just need my coffee stronger,"['usability', 'not usability', 'video']","[0.922857403755188, 0.0405019149184227, 0.03664066642522812]"
74,are nespresso pod compatible in this model or can you open a nespresso pod and dump the content in for the same effect,"['usability', 'video', 'not usability']","[0.7914718985557556, 0.14352092146873474, 0.06500720232725143]"
75,opening the pod or even opening kcups work great,"['usability', 'video', 'not usability']","[0.8823455572128296, 0.09992150217294693, 0.017732972279191017]"
76,which is bettef ec260 or ec235 or ec221,"['usability', 'video', 'not usability']","[0.6719728112220764, 0.17501072585582733, 0.15301644802093506]"
77,thank u but where the frick is gail,"['not usability', 'video', 'usability']","[0.5176115036010742, 0.27575016021728516, 0.20663830637931824]"
78,look cheap and ugly wtf,"['not usability', 'video', 'usability']","[0.8531227111816406, 0.09002135694026947, 0.0568559430539608]"
79,your espresso will taste like crap after 8 sec if you do not immediately mix it with steamed milk fyi always have your milk steamed and ready to go,"['usability', 'not usability', 'video']","[0.6671965718269348, 0.19335784018039703, 0.13944560289382935]"
80,ghislaincarrier i am a barista and usually the shot of espresso would die in like 15 second if we do not put the milk in there quick enough,"['usability', 'video', 'not usability']","[0.6592996716499329, 0.2584446966648102, 0.08225571364164352]"
81,i hope your realize you said something stupid if i order an espresso at a coffee shop i have 8 second between the time the shot is done and i am done drinking it i hope the barista doe not waste 6 of those 8 second before giving me my cup,"['usability', 'not usability', 'video']","[0.633542001247406, 0.3003169894218445, 0.06614106148481369]"
82,old myth,"['not usability', 'usability', 'video']","[0.8629928827285767, 0.07237812876701355, 0.0646289736032486]"
83,can not get micro foam no matter what i try i have watched countless video and milk is either too thin or too foamy i have been practicing with frothing soap and water and a cup of water with cocoa powder in it to simulate espresso got tired of wasting my milk but on the plus side the espresso that come out of this machine are very tasty i have had the machine about two week or so and i like it so far,"['video', 'usability', 'not usability']","[0.6979732513427734, 0.22023296356201172, 0.08179379254579544]"
84,gina steimle hi not sure how i would even post picture on a reply but i watch a lot of the people that do latte art either here on youtube or tiktok lot of really good people out there,"['video', 'usability', 'not usability']","[0.6080582737922668, 0.23552651703357697, 0.1564152091741562]"
85,author erica r stinson could you post picture of your latte art i work on mine occasionally and it is just atrocious i need some inspiration thanks,"['not usability', 'usability', 'video']","[0.7635481357574463, 0.1924484223127365, 0.04400341957807541]"
86,author erica r stinson glad to know congrats,"['usability', 'video', 'not usability']","[0.5364179611206055, 0.345600962638855, 0.11798109114170074]"
87,paulina thanks for writing i have practiced all this past year and now i get microfoam and have been doing latte art fairly decently for a few month now the machine is still working great the latte are good and i am very happy with it all,"['usability', 'video', 'not usability']","[0.7537215352058411, 0.14469203352928162, 0.10158640891313553]"
88,author erica r stinson hey we have replaced our coffee machine it wa new and now it is working perfectly it is actually quite easy to make froth there is no special trick also the milk get hot very quickly before it took like 3 minute to warm up but now it take 20 second so just wanted to let you know this maybe your coffee machine is also defective,"['usability', 'not usability', 'video']","[0.787774920463562, 0.12069962918758392, 0.09152547270059586]"
89,what kind of grinder is that,"['not usability', 'usability', 'video']","[0.5605108141899109, 0.28680458664894104, 0.15268459916114807]"
90,zach sheffee i know that is she not grinding the coffee bean with a grinder at 4 00,"['usability', 'video', 'not usability']","[0.4515170454978943, 0.3084101676940918, 0.24007277190685272]"
91,zach sheffee she is not using a grinder to grind the coffee,"['not usability', 'usability', 'video']","[0.5463095307350159, 0.23807264864444733, 0.215617835521698]"
92,also do you have to change out the coffee every time you brew an espresso and use new coffee every time i am a newbie,"['usability', 'not usability', 'video']","[0.5432511568069458, 0.327551931142807, 0.1291968673467636]"
93,yes fresh coffee each time,"['usability', 'video', 'not usability']","[0.607037365436554, 0.31064850091934204, 0.0823141485452652]"
94,the coffee filter came in a bunch of piece doe anyone have a video on how to put it together,"['video', 'usability', 'not usability']","[0.48595502972602844, 0.475780725479126, 0.03826424852013588]"
95,abueloraton is there any that use glass,"['usability', 'not usability', 'video']","[0.5588908195495605, 0.24351085722446442, 0.19759832322597504]"
96,and the water tank is soft plastic which cause cancer bpas in soft plastic,"['not usability', 'usability', 'video']","[0.4405785799026489, 0.38527199625968933, 0.17414943873882294]"
97,50percent of the filter made out of rubber and the portafilter ha plastic,"['usability', 'video', 'not usability']","[0.7599362730979919, 0.17220300436019897, 0.06786079704761505]"
98,i just got this and it a pretty nice upgrade from using my aeropress the instruction were not clear about this when you first put water in it to flush the machine out it gon na take a few min before the pump prime and water come out first thing you do after adding water is switch to the brew water setting not the heat up setting then you wait a couple min before the water even come out,"['usability', 'not usability', 'video']","[0.8860277533531189, 0.059200871735811234, 0.054771360009908676]"
99,abueloraton you talk about knowing high quality espresso yet bought a dollar100 piece of junk machine and you should have known what your in store for,"['not usability', 'usability', 'video']","[0.6578797101974487, 0.2283976823091507, 0.11372249573469162]"
100,avolate fpv no it is not consistent you will have problem with it not opening up just wait a few month this is ine of the lowest end machine ever,"['not usability', 'video', 'usability']","[0.7163108587265015, 0.17460723221302032, 0.10908187925815582]"
101,abueloraton ive used high end machine before but they were at restaurant and i do not have the counterspace for a large machine at home sure the portafilter ha some rubber in it but so doe the aeropress the portafilter in this machine ha a spring loaded check valve that only open when it at the right pressure i seems to work pretty good,"['usability', 'video', 'not usability']","[0.7882329225540161, 0.1166522353887558, 0.09511483460664749]"
102,avolate fpv you might not really know high quality espresso this cheap machine overextracts and overpressurizes make coffee much bitter and acid than it is supposed to taste besides it filter and portafilter are 50percent made out of rubber which is absolutely unacceptable and unhealthy,"['video', 'not usability', 'usability']","[0.416562020778656, 0.40079692006111145, 0.18264108896255493]"
103,avolate fpv it interior are made out of rubber the brew filter check it out is half rubber compressed filter fake pressure it tank is made out of soft plastic which ha bpas it hose are all made out of rubber it overheats the water which cause extra bitterness in the coffee it pump is waaaay too powerful cause coffee brew flow to exceed the standard brew flow rate for espresso which cause poor extraction acidity and it smell and taste like rubber the aeropress is a machine with huge acceptance and following by coffee expert now aeropress is not an espresso brewer if you want espresso aeropress is the wrong tool this delonghi machine make overextracted fake espresso for people who do not really know what espresso really is i am having to return this piece of junk and i have had to switch to french press for the time being at least the french press is not made out of cheap plastic and rubber hose if i ever have an espresso it better be finely tuned that is the whole point of espresso and just so that you know compressurized filter do not generate a full extraction also for your info basket filter should be percent metal not half metal half rubber like the trash you are drinking your commercial supermarket burnt coffee out of,"['not usability', 'usability', 'video']","[0.5553334355354309, 0.37127187848091125, 0.07339467853307724]"
104,how doe this compare to the 230 and the 235,"['usability', 'not usability', 'video']","[0.46143269538879395, 0.3369481861591339, 0.20161905884742737]"
105,samhondros can you get th 230 in the u it seems to be the only difference is the non pannarello steam wand on the 230 which i see a a plus,"['usability', 'video', 'not usability']","[0.7549575567245483, 0.18236015737056732, 0.06268221884965897]"
106,what kind of coffee grind were you using here how do i make a caramel latte i did not see the step where you added either milk or water to the machine but i did see milk and water come out do you put the milk and the water in at the same time in 2 separate reservoir,"['usability', 'video', 'not usability']","[0.4988660216331482, 0.3499702513217926, 0.151163712143898]"
107,wtf is wtrh doing rubber hose and soft plastic tank disgusting i had to return it the next day decent espresso machine are sadly expensive because they require solid built,"['not usability', 'usability', 'video']","[0.8257482051849365, 0.1272614300251007, 0.046990372240543365]"
108,alex simone oh good info thanks very much i purchased this exact machine online delivering to me this sunday,"['usability', 'video', 'not usability']","[0.7898988723754883, 0.1844330132007599, 0.025668159127235413]"
109,hi the milk and water do not come out of the machine the espresso just look creamy to make a caramel latte you add caramel syrup to your cup add espresso and then add milk in this video she made a latte without flavor hope that help,"['video', 'not usability', 'usability']","[0.8147015571594238, 0.11084243655204773, 0.07445602864027023]"
110,how long should i hold for the broth i like creme but i am having a hard time with broth milk,"['usability', 'not usability', 'video']","[0.6997307538986206, 0.15813188254833221, 0.142137348651886]"
111,hold the cup that you are steaming in and slowly pull the container downward until the tip of the frother is just below the surface of the milk this will give it the best froth,"['usability', 'video', 'not usability']","[0.8904198408126831, 0.08092817664146423, 0.028652040287852287]"
112,here is a list that helped me out whinyl com espresso guide in the end i went with 1 4 01,"['usability', 'video', 'not usability']","[0.7734079360961914, 0.13631291687488556, 0.09027916193008423]"
113,specifically what is it about this machine that make it definitely not latte art worthy i have the machine and not been able to obtain the proper milk consistency for latte art so why doe it have this shortcoming,"['not usability', 'usability', 'video']","[0.8116120100021362, 0.11402491480112076, 0.07436303794384003]"
114,the reason why is because the steamer wa made to make the milk really frothy like in a cappuccino thicker foam is very difficult to create latte art because it is stiff what i managed to figure out is to just steam it like normal with around 8 oz of milk then when done take some of the foam out with a spoon then swirl the pitcher to combine the frothed milk perfect latte art steamed milk should be glossy and look like paint,"['usability', 'video', 'not usability']","[0.7603579759597778, 0.13743819296360016, 0.10220383107662201]"
115,i have a very similar machine ecp 3420 and my understanding is that the steam that come from the wand is not strong enough to spin the milk which is a requirement for making microfoam,"['usability', 'not usability', 'video']","[0.7920494675636292, 0.12121263891458511, 0.08673788607120514]"
116,anyone else is coffee from this machine really weak i have bought really nice bean and it not doing it for me any advice,"['not usability', 'usability', 'video']","[0.8510773777961731, 0.11845462024211884, 0.03046800196170807]"
117,jack brennan i would say if you are grinding your own bean crank your grinder to the finest grind setting you can i have a little mr coffee that ha a pretty fine grind setting on it also i do not believe the machine ha an auto stop for pulling shot are you using to double shot filter or the single shot filter,"['usability', 'video', 'not usability']","[0.6442199945449829, 0.24238894879817963, 0.11339107155799866]"
118,thiccynickyy hey thanks for the great reply i have bought both pre ground bean and whole bean myself and noticed very little difference the water pressure seems okay too so i am really not too sure i have nice bean at the moment but still the coffee is not a strong a it would be from a cafe obviously you can get better machine than this one but i still expected nicer coffee,"['not usability', 'usability', 'video']","[0.5665306448936462, 0.37228265404701233, 0.06118679419159889]"
119,there are either 2 problem why this is occurring the grind of the coffee is not fine enough or the machine doe not use enough pressure to expel the coffee i am not sure if you grind your own bean but you have to make sure whether you do it yourself or have a barista do it for you that it is a fine grind it should be like fine sand if it is not fine enough then it will come out watery and sour and also i forgot to mention but another thing could be that the coffee bean you are using are too much of a light roast lighter roast are usually not a strong a darker one and are used for drip coffee or french press so if you are using a lighter roast i would suggest trying a darker one and finally the machine may have a pressure problem because if you notice it drip slower when brewing then the machine probably doe not expel enough pressure to be consistent i would try troubleshooting it from their customer service or maybe get a replacement if your machine is noticeably broken sorry if this is too long i am just a barista bored at 11pm,"['not usability', 'usability', 'video']","[0.4957360625267029, 0.4357038140296936, 0.06856007874011993]"
120,i have had this machine for a few month now and recently have had issue dispensing espresso after consulting the manual i bought the delonghi descaling solution i followed instruction to the letter and even did an extra cycle of clean water to ensure i wa not going to be brewing the solution into my espresso ala i still can not get my espresso i normally always use the double shot basket i have disassembled and cleaned thoroughly by had and nothing i do not over fill or under fill the basket with ground i tamp it lightly not to light or too firm i still have had no success ha anyone had an issue similar or perhaps any suggestion,"['not usability', 'usability', 'video']","[0.5182292461395264, 0.43580347299575806, 0.045967232435941696]"
121,fill with 4 cup vinegar and run machine till empty,"['usability', 'video', 'not usability']","[0.7867943048477173, 0.146666020154953, 0.06653972715139389]"
122,do not rely on delonghi customer service they seem to purposely drag out your case so you run out of warranty replacement take a long time to accomplish,"['not usability', 'usability', 'video']","[0.4364042282104492, 0.37083134055137634, 0.19276441633701324]"
123,try a coarse grind because it is already a pressurized portafilter,"['usability', 'video', 'not usability']","[0.829264223575592, 0.10404203832149506, 0.06669370085000992]"
124,can you use any bean or ground espresso if you use like a starbucks ground coffee in it is that technically espresso,"['usability', 'video', 'not usability']","[0.8476247191429138, 0.10411935299634933, 0.04825598746538162]"
125,espresso is style of coffee but yes there are also espresso bean which are roasted a bit longer than coffee bean,"['usability', 'not usability', 'video']","[0.6984866857528687, 0.1521882861852646, 0.14932501316070557]"
126,when i first had mine 3420 almost the identical machine functionally i tried starbucks bean and asked them to grind it espresso it wa fine like talcum powder and simply would not drip because it became thick sludge in the basket when it got all wet there simply wa not enough pressure to get through the sludge from that extremely fine powdery grind i bought a bodum bistro grinder for dollar70 on sale keep it at the finest setting grind 14 gram using my dollar12 scale tamp it very firmly and there you go make a decent 1 1 2 oz shot in 20 second or so if you do not have a grinder explain to starbucks that you have a pressure basket machine and need the grind to be about like granulated sugar in texture that should get you there,"['usability', 'video', 'not usability']","[0.7686362266540527, 0.14200612902641296, 0.08935767412185669]"
127,you need coffee with an espresso grind it is a good deal finer than you would get from a preground bag you could go to starbucks or a shop that sell bean and have them grind it for an espresso we always recommend grinding what you are going to use right away and keeping the rest whole bean for freshness but if you do not have a grinder it is just fine,"['usability', 'not usability', 'video']","[0.6650293469429016, 0.1921229213476181, 0.14284773170948029]"
128,i do not get how to pull the double shot using the second filter provided the instruction manual doe not provide a good explanation nor illustration and the woman in the video did not provide an explanation either this is frustrating,"['video', 'not usability', 'usability']","[0.5326346755027771, 0.321210116147995, 0.1461552232503891]"
129,the double shot doe not mean pulling a typical 18 19 gram double shot delonghi call 7 gram a single shot 14 a double shot they should call their double shot a single and a half shot just tamp 14 gram in there real firmly and if your grind is about the fineness of granulated sugar you can manage a nice little 1 1 2 oz to maximum 2 oz espresso partly depends on the bean a to whether you want to keep your shot 1 1 2 or stretch it to 2,"['usability', 'not usability', 'video']","[0.749721348285675, 0.1694936454296112, 0.08078502118587494]"
130,it look bigger so two shot,"['video', 'usability', 'not usability']","[0.6681582927703857, 0.28796058893203735, 0.0438811294734478]"
