,sequence,labels,scores
11,once we get access to one we will,"['usability', 'not usability', 'video']","[0.5155836939811707, 0.38291433453559875, 0.1015019491314888]"
12,you prefer it over your wife do not let her hear that,"['usability', 'not usability', 'video']","[0.4410566985607147, 0.4110066294670105, 0.14793671667575836]"
13,i wa expecting to have compare between both and surprisingly wa just review of the black one without to give the minus and the plus with the white machine,"['video', 'not usability', 'usability']","[0.49613362550735474, 0.29460787773132324, 0.2092585414648056]"
14,they are exactly the same differ colour,"['usability', 'video', 'not usability']","[0.4726734459400177, 0.35704895853996277, 0.17027761042118073]"
15,how would you make an americano with this,"['usability', 'video', 'not usability']","[0.7501940727233887, 0.12799575924873352, 0.1218101978302002]"
16,mrsporkster what do you mean,"['not usability', 'video', 'usability']","[0.40638867020606995, 0.3399147391319275, 0.2536965608596802]"
17,you would not,"['not usability', 'usability', 'video']","[0.7551003694534302, 0.12703905999660492, 0.1178605780005455]"
18,will it do just hot milk for cocoa,"['usability', 'video', 'not usability']","[0.8927236795425415, 0.08169087022542953, 0.025585386902093887]"
19,doe this machine can make hot chocolate,"['usability', 'video', 'not usability']","[0.8938888311386108, 0.09267982095479965, 0.013431346975266933]"
20,no it doe not,"['not usability', 'usability', 'video']","[0.7711736559867859, 0.11701621860265732, 0.1118100956082344]"
21,so is it worth the 2k usd,"['usability', 'video', 'not usability']","[0.5820371508598328, 0.23820659518241882, 0.1797562688589096]"
22,jesus christ 2k in sweden it is at 500 dollar right now,"['usability', 'video', 'not usability']","[0.4494706094264984, 0.40914300084114075, 0.14138643443584442]"
23,it is on sale quite a bit,"['usability', 'video', 'not usability']","[0.7089200019836426, 0.23237791657447815, 0.05870211869478226]"
24,i just order the white one,"['usability', 'video', 'not usability']","[0.8129318356513977, 0.1341559737920761, 0.05291221663355827]"
25,i hardly comment on video but for the consumer i thought it should be my duty to write something to date my delonghi eletta ha done 3 352 coffee and going strong it is reliable simple and coffee are always hot it doe not look like the design ha changed too much so believe they have done a good job on the design cleaning is easy slim a to not take too much bench space the rinsing when you turn it on and off annoys the shit out of me but that is about it you can set the coffee the way you like it which is what i do but the overall feature are nice overall i think it a good buy hope this help anyone looking into buying a good coffee machine written by an australian coffee drinker,"['usability', 'video', 'not usability']","[0.47424545884132385, 0.4725423753261566, 0.05321214720606804]"
26,stuff it im getting one,"['not usability', 'usability', 'video']","[0.5941593647003174, 0.23246178030967712, 0.17337888479232788]"
27,hi you say this isnt your favorit espresso machine im looking for a full automatique espresso machine what is your suggestion thx you,"['not usability', 'usability', 'video']","[0.8234458565711975, 0.11157865077257156, 0.06497549265623093]"
28,susan cordeiro that super load grinder stopped me buying this,"['not usability', 'usability', 'video']","[0.7563833594322205, 0.16692118346691132, 0.07669546455144882]"
29,he say overall great machine a little big on the counter so keep that in mind aesthetically not my favourite looking machine but it is a nice i actually prefer it in the white he also said loud grinder nice crema great value lot of feature cleaning functionality for milk is great easy not much work cappuccino in under a minute with various strength and temperature sounded like to me he wa pleased overall with the performance,"['usability', 'video', 'not usability']","[0.7473752498626709, 0.18799075484275818, 0.06463396549224854]"
30,doe that machiene make cappuccino hot enough thanx in advance,"['usability', 'video', 'not usability']","[0.6093769669532776, 0.2716653645038605, 0.11895764619112015]"
31,it doe not,"['not usability', 'video', 'usability']","[0.7970563173294067, 0.10448061674833298, 0.09846307337284088]"
32,great video many thanks,"['video', 'usability', 'not usability']","[0.9532181620597839, 0.044658806174993515, 0.002123034792020917]"
33,i like almost everything about this brewer my previous one wa a keurig 2 0 mybest kitchen and had a lot of issue this one is more basic but all the important feature are there if i had to name something i found a a negative it would be the size of the water tank i wa used to a larger one and have to fill this one daily a we drink 4 large cup every morning but it is a small thing in the grand scheme of thing,"['not usability', 'usability', 'video']","[0.49285632371902466, 0.4353370666503906, 0.07180663198232651]"
34,hi there thanks for the comment the eletta is are excellent machine very easy to use and maintain they are great for canadian american style long perk coffee a you know if ha that function great to hear you are enjoying the unit all the best cheer,"['usability', 'video', 'not usability']","[0.9198839068412781, 0.054668623954057693, 0.025447536259889603]"
35,good video it is helpful,"['video', 'usability', 'not usability']","[0.8477721214294434, 0.14939893782138824, 0.002828931203112006]"
36,help with descaling please,"['usability', 'video', 'not usability']","[0.393510639667511, 0.3463950455188751, 0.2600943148136139]"
37,hi andrea i trust you have resolved the descaling question by now you can always connect with a delonghi tech agent and they will go thru the step with you over the phone 1888 335 6644 otherwise the manual will have step by step guideline for you once you activate the descaling cycle the unit will do the rest for you you will need to monitor how full the cup get to ensure it wont over flow thats all ciao,"['usability', 'video', 'not usability']","[0.6113267540931702, 0.19493317604064941, 0.19374004006385803]"
38,translated can it be stored in a milk container in the refrigerator together with the lid tube and regulator assembled or just the container with milk yes you can store the extra milk in the carafe within the fridge ciao,"['usability', 'video', 'not usability']","[0.9042745232582092, 0.06010746583342552, 0.035617947578430176]"
39,ha anyone used the hot milk option for hot chocolate looking to cover all angle before buying,"['usability', 'video', 'not usability']","[0.7594463229179382, 0.21570205688476562, 0.02485160529613495]"
40,hey there darragh you can texture the milk and then combine it with your hot chocolate mix within the mug directly link to delonghi eletta ciao,"['usability', 'video', 'not usability']","[0.8207540512084961, 0.1552552580833435, 0.02399071492254734]"
41,ive had this for about 6 month it come out warm that wa also mentioned in the costco review and they recommended using a microwave,"['usability', 'video', 'not usability']","[0.8158693909645081, 0.14877894520759583, 0.03535164147615433]"
42,how do you turn on the warming tray,"['usability', 'video', 'not usability']","[0.8868410587310791, 0.07812584936618805, 0.03503304347395897]"
43,hey lilly the warming tray is passively warmed from the heat of the boiler thanks for the question,"['usability', 'video', 'not usability']","[0.8123140931129456, 0.14546456933021545, 0.04222133383154869]"
44,i found the answer online btw it doe not the tray doe not warm up only in the model above,"['usability', 'not usability', 'video']","[0.5986040830612183, 0.23273253440856934, 0.16866335272789001]"
45,is this the latest model,"['usability', 'video', 'not usability']","[0.6305510401725769, 0.21523624658584595, 0.15421266853809357]"
46,great tutorial and info thanks,"['video', 'usability', 'not usability']","[0.6576769351959229, 0.3173007667064667, 0.025022245943546295]"
47,great explanation thanks a lot need to know about descaler,"['video', 'usability', 'not usability']","[0.5447672009468079, 0.3458165228366852, 0.10941623896360397]"
48,excellent demonstration,"['video', 'usability', 'not usability']","[0.8793870806694031, 0.09415663033723831, 0.026456236839294434]"
49,i like almost everything about this brewer my previous one wa a keurig 2 0 mybest kitchen and had a lot of issue this one is more basic but all the important feature are there if i had to name something i found a a negative it would be the size of the water tank i wa used to a larger one and have to fill this one daily a we drink 4 large cup every morning but it is a small thing in the grand scheme of thing,"['not usability', 'usability', 'video']","[0.49285632371902466, 0.4353370666503906, 0.07180663198232651]"
50,that is awesome thank you for your feedback,"['usability', 'video', 'not usability']","[0.5487399101257324, 0.40810319781303406, 0.043156836181879044]"
51,allo tu peux ajuster ta mouture avec le cadran dans la bo te grain toujours faire de ajustements le moulin en marche,"['usability', 'video', 'not usability']","[0.5547825694084167, 0.34586602449417114, 0.09935135394334793]"
52,can i save my own coffee,"['usability', 'video', 'not usability']","[0.787652850151062, 0.14257855713367462, 0.06976857036352158]"
53,yes it is called amy coffee and you can set the amount of water that is added to the pure shot,"['usability', 'video', 'not usability']","[0.8738203644752502, 0.10535024106502533, 0.02082938887178898]"
54,this or dinamica plus which is better,"['usability', 'not usability', 'video']","[0.4231216013431549, 0.29348990321159363, 0.28338849544525146]"
55,my concern hot water plastic cancer,"['not usability', 'video', 'usability']","[0.5315013527870178, 0.30430692434310913, 0.16419173777103424]"
56,i have had 3 of these in three location for about 2 year they probably make 1500 2500 drink a year so far solid and really i like them better than any of the jura is i have owned better espresso drink and easier to clean,"['usability', 'video', 'not usability']","[0.7523066997528076, 0.16647641360759735, 0.08121687173843384]"
57,interesting i wa holding out for a jura but you say this is better,"['usability', 'video', 'not usability']","[0.392172634601593, 0.3509107232093811, 0.2569165825843811]"
58,thank you for your feedback all the best,"['usability', 'video', 'not usability']","[0.5373930931091309, 0.32923823595046997, 0.13336867094039917]"
59,just bought this wow fantastic machine wonderful coffee can not recommend enough,"['usability', 'video', 'not usability']","[0.8762043118476868, 0.1001611277461052, 0.023634500801563263]"
60,thanks for your feedback enjoy,"['video', 'usability', 'not usability']","[0.522372305393219, 0.4319765865802765, 0.04565109312534332]"
61,what are the dimension of this unit what would be considered a sharp price for this unit,"['usability', 'video', 'not usability']","[0.7357219457626343, 0.1610414981842041, 0.10323654860258102]"
62,hello how do you make espresso with this machine what setting and grinder setting would you recommend,"['usability', 'video', 'not usability']","[0.8886550664901733, 0.07737661898136139, 0.03396835923194885]"
63,jean yu in general to set the coffee machine normally you need to set up espresso first i have the same model grinder adjustment should be 1 9 then you should choose extra mild taste and here you go then press a short coffee,"['usability', 'video', 'not usability']","[0.8472006916999817, 0.10286971926689148, 0.04992958903312683]"
64,jean yu thank you for your feedback to be honest i do not drink espresso i only drink cappuccino and i have not tried that yet try the setting you mentioned and let me know,"['not usability', 'usability', 'video']","[0.43983903527259827, 0.37748029828071594, 0.18268072605133057]"
65,wy by adam lash thank you i am referring to espresso coffee without milk in the setting should i just select standard coffee standard taste and 1 cup for single shot,"['usability', 'video', 'not usability']","[0.7964069247245789, 0.15656878054141998, 0.04702433943748474]"
66,making hot drink using the milk menu a well a the coffee described above the machine automatically make milk hot milk caffelatte espresso macchiato and my milk customisable to make one of these hot drink proceed a follows 1 fill the milk container and attach it a described above 2 turn the froth adjustment dial on the milk container lid to the position corresponding to the required froth 3 press the milk menu button 4 press lt or gt until the required drink is displayed milk caffelatte espresso macchiato or my milk 5 press the ok button to start making the drink 6 after a few second frothed milk is delivered from the milk spout into the cup below for drink with coffee the machine automatically make the coffee after delivering the milk,"['usability', 'video', 'not usability']","[0.9202207326889038, 0.057591117918491364, 0.02218818850815296]"
67,check out the user manual here,"['usability', 'video', 'not usability']","[0.9343928694725037, 0.044843558222055435, 0.020763548091053963]"
68,wait what it say 120v but no 120v country ha 50hz electricity why doe it have a british plug is it a 230v version,"['not usability', 'usability', 'video']","[0.469910591840744, 0.4098239243030548, 0.12026548385620117]"
69,wy by adam lash eu plug have a protective metal piece it is called the schutz kontakt schuko plug because of the top and bottom pe contact if i spelled it right look closer at the type e and f plug e ha an earth pin all socket are required to be equipped with the circuit protective conductor,"['usability', 'video', 'not usability']","[0.7956123948097229, 0.1454354226589203, 0.058952171355485916]"
70,this is the middle east version i live in dubai i guess it would be similar to the british standard all our plug here have three prong unlike the u russia and europe it is actually better because it is safer than the two prong the main difference between a two prong outlet and a three prong outlet is that a three prong outlet ha a ground wire while a two prong outlet doe not a ground wire is basically a wire that act a a shortcut and directs any surge of excess electricity to safely flow into the ground,"['usability', 'video', 'not usability']","[0.8150129318237305, 0.10750847309827805, 0.07747862488031387]"
71,doe this model have the automatic turn on time like say i can set it to turn on and warm at 6am,"['usability', 'video', 'not usability']","[0.8522989749908447, 0.09601891040802002, 0.051682110875844955]"
72,of course you can adjust through auto start for more information visit,"['usability', 'video', 'not usability']","[0.7078427672386169, 0.20438025891780853, 0.08777699619531631]"
73,uh oh loud is too reminiscent of cheap loud amp cheap sounding machine evoke untimely mechanical breakdown and dreaded nightmare repair i will take the delicious caffeine buzz all day but nix this buzz saw machinery,"['not usability', 'usability', 'video']","[0.8176398277282715, 0.1514553427696228, 0.030904749408364296]"
74,annette ryan yes what le noisy machine u recommend i have tinnitus so i find mine too noisy delonghi autentica,"['usability', 'not usability', 'video']","[0.4034980237483978, 0.3999042510986328, 0.19659774005413055]"
75,annette ryan grow up,"['not usability', 'video', 'usability']","[0.6462513208389282, 0.2500084638595581, 0.10374025255441666]"
76,cheap that must be a joke lol i do not know why you think this break down easily with nightmarish repair,"['not usability', 'usability', 'video']","[0.7442291975021362, 0.16331858932971954, 0.09245229512453079]"
77,nice video i am very impressed with it,"['video', 'usability', 'not usability']","[0.9373089671134949, 0.060497261583805084, 0.0021937263663858175]"
78,all thanks to you man,"['usability', 'video', 'not usability']","[0.5319142937660217, 0.39984360337257385, 0.06824210286140442]"
79,feel like having our own coffee shop at home,"['usability', 'video', 'not usability']","[0.6152879595756531, 0.27659091353416443, 0.10812114924192429]"
80,mmmmm,"['video', 'usability', 'not usability']","[0.5243439078330994, 0.3617188334465027, 0.11393733322620392]"
81,i agree super helpful and much appreciated review,"['usability', 'video', 'not usability']","[0.6290597319602966, 0.3032260537147522, 0.06771427392959595]"
82,i like almost everything about this brewer my previous one wa a keurig 2 0 mybest kitchen and had a lot of issue this one is more basic but all the important feature are there if i had to name something i found a a negative it would be the size of the water tank i wa used to a larger one and have to fill this one daily a we drink 4 large cup every morning but it is a small thing in the grand scheme of thing,"['not usability', 'usability', 'video']","[0.49285632371902466, 0.4353370666503906, 0.07180663198232651]"
83,how would you compare this to the perfecta esam 5600 s,"['usability', 'video', 'not usability']","[0.6221608519554138, 0.20060995221138, 0.17722919583320618]"
84,good how do you change from espresso bean to regular coffee bean tia,"['usability', 'video', 'not usability']","[0.7960585355758667, 0.11895498633384705, 0.08498643338680267]"
85,i have been on the fence about which machine to get so this video wa super helpful to me the eletta cappuccino top wa in my shortlist have not seen your channel before but will definitely be watching more of your vids very refreshing to have concise and informative content without all the unnecessary waffle thanks again and keep up the great work,"['video', 'usability', 'not usability']","[0.9366357922554016, 0.05666440725326538, 0.00669986242428422]"
86,do u use milk powder for milk,"['usability', 'video', 'not usability']","[0.7667017579078674, 0.14066538214683533, 0.09263283759355545]"
87,can the manual steamed milk be used for making latte art or perhaps using the frothed milk from the lattecrema,"['usability', 'video', 'not usability']","[0.9157952070236206, 0.049165863543748856, 0.035038888454437256]"
88,i do not know if i can trust an ad where they do not include a black and white dramatization bit where an actor us a fryer pan to make espresso,"['not usability', 'video', 'usability']","[0.7059561610221863, 0.19241495430469513, 0.1016288474202156]"
89,is the grinder a loud a the previous model that wa a big turn off for me,"['not usability', 'usability', 'video']","[0.8088037967681885, 0.13341692090034485, 0.057779282331466675]"
90,is this machine stainless,"['usability', 'not usability', 'video']","[0.6714832186698914, 0.18272387981414795, 0.14579284191131592]"
91,it is a combination of painted plastic chrome plating and metal throughout the body from personal experience it is one of the nicest looking machine in the market liam,"['usability', 'video', 'not usability']","[0.7374902367591858, 0.21335715055465698, 0.049152567982673645]"
92,hi great video what would you recommend this model over the dinamica model which are the difference,"['video', 'usability', 'not usability']","[0.9755480885505676, 0.021194536238908768, 0.003257345175370574]"
93,very good question the eletta is my personal favourite between the two a it seems to be capable of reaching a finer grind size for stronger espresso shot this is especially useful for milk based drink or straight espresso the dinamica machine have better tasting long coffee and also have a very well executed iced coffee function some of the newer dinamica machine the dinamica lattecrema and dinamica plus have better programability for user presets and advanced milk drink customization in the end it is up to personal preference liam,"['usability', 'video', 'not usability']","[0.7464682459831238, 0.14072321355342865, 0.11280854046344757]"
94,hello how do you make espresso with this machine what setting and grinder setting would you recommend,"['usability', 'video', 'not usability']","[0.8886550664901733, 0.07737661898136139, 0.03396835923194885]"
95,home coffee solution i have the same machine but i do not have the espresso double shot or single shot option on mine,"['usability', 'not usability', 'video']","[0.529871940612793, 0.24919547140598297, 0.22093257308006287]"
96,espresso shot are easy with a one button push on the top interface you can select either isingle shot or wouldouble shot and program the dosage i would personally recommend starting at the 5 setting on the grinder and adjust the grind size to taste grind size largely depends on the coffee being used coarser grind le bitter more sour finer grind more bitter le sour each coffee ha a isweet spot but fairly easy to reach with a super automatic machine that is built to improve shot consistency liam,"['usability', 'video', 'not usability']","[0.8248163461685181, 0.12236648052930832, 0.052817150950431824]"
97,superb review,"['video', 'usability', 'not usability']","[0.5201659202575684, 0.42267510294914246, 0.05715898796916008]"
98,doe this machine make ice coffee,"['usability', 'video', 'not usability']","[0.8130854368209839, 0.1573510766029358, 0.029563413932919502]"
99,yes just need to brew an extra strong espresso shot over ice,"['usability', 'video', 'not usability']","[0.8228136301040649, 0.11996272206306458, 0.05722368136048317]"
100,i looked on your site and you are sold out of the silver and i am not in canada anyway i do not see silver available anywhere and it is not on the delonghi website either is it still available and is the silver front plastic like the other color or is it metal,"['not usability', 'usability', 'video']","[0.798206627368927, 0.14535284042358398, 0.05644046142697334]"
101,home coffee solution thank you for the reply i actually purchased a silver one from the delonghi website and love it over the year i have had 2 jura and 2 saeco super automatic and this is by far the best the quality of the coffee is great and it is very easy to clean very happy with it thank you for providing such a great review,"['usability', 'video', 'not usability']","[0.7978194952011108, 0.13847066462039948, 0.06370987743139267]"
102,we are based in canada not sure what the current availability look like in the united state at the moment the silver version is mostly plastic but a few of the chrome accent seem to be metal overall the build quality is great compared to all the other machine in it price range,"['usability', 'video', 'not usability']","[0.8036015033721924, 0.12032551318407059, 0.07607298344373703]"
103,picked up this unit two week ago on sale for 1400 bottom line there is not another machine in this price range that offer auto froth and frothing wand two boiler great heating cup warmer on top we are still playing with the personal setting but honestly the setting right out of the box were great drink are hot even on the medium setting foam from the auto frother is great allowing you to choose how much froth you want the user interface is fairly simple oh and the clean up is stupid easy contrary to some other brand that require pill and special basin etc this frother only requires you to turn the knob to clean and with 10 second it is done remove the milk canister and put it in fridge until needed honestly i really can not find any fault with this machine we will see how it hold up to daily use,"['usability', 'not usability', 'video']","[0.8507384657859802, 0.07710336148738861, 0.07215822488069534]"
104,mel c yessir 3 4 coffee drink every day without any issue still enjoy my cappuccino is and espresso i would purchase again,"['usability', 'video', 'not usability']","[0.6236538887023926, 0.1936635673046112, 0.18268254399299622]"
105,i think i have made my final decision on this model are you still happy with your purchase thank you,"['usability', 'video', 'not usability']","[0.5372791886329651, 0.3214019536972046, 0.14131879806518555]"
106,sarah teunissen hi it wa purchased at the linen chest they still had them on sale a few month ago ftr i am about 8 month out since getting it it is performed perfectly and both my wife and i love it,"['usability', 'video', 'not usability']","[0.7637757062911987, 0.1693432778120041, 0.06688106060028076]"
107,where did you purchase it for that deal thanks,"['usability', 'video', 'not usability']","[0.7518807649612427, 0.17908595502376556, 0.06903328746557236]"
108,how many gram of coffee in extra strong,"['usability', 'video', 'not usability']","[0.8340948820114136, 0.11068554222583771, 0.05521959811449051]"
109,the video wa very interesting i enjoy espresso every day with delonghi is magnifica s i also subscribed to the channel please come visit me on my channel with love from japan,"['video', 'usability', 'not usability']","[0.9422167539596558, 0.05090688541531563, 0.0068763974122703075]"
110,can you tell me how i clean the steamer after steam,"['usability', 'video', 'not usability']","[0.6808702945709229, 0.17543663084506989, 0.14369307458400726]"
111,a simple purge running the steaming wand without milk and a quick wipe off with a towel with suffice for basic cleaning i would recommend removing the plastic cover every couple of week and using soap and water to more thoroughly clean out the component steam is a natural sanitizer so any remaining residue will likely be baked on sugar,"['usability', 'video', 'not usability']","[0.8628774881362915, 0.08867673575878143, 0.048445794731378555]"
112,hi nice video how doe this machine compare to the newer dinamica w lattecrema waffling between the two now that the price on the eletta gop ha come way down in pric,"['video', 'usability', 'not usability']","[0.9206093549728394, 0.07470681518316269, 0.0046838498674333096]"
113,the eletta can go to a finer grind size which is better for espresso shot and milk based beverage it also ha an active cup warmer which can make a big difference in beverage temperature the dinamica ha better customization more drink and a really good iced coffee function in the end it is up to personal preference but i would personally choose the eletta just based on the grind option liam,"['usability', 'video', 'not usability']","[0.7718679904937744, 0.14713245630264282, 0.08099953085184097]"
114,fantastic machine my only criticism is the confusing operating instruction which appear to have no logical order for example fitting the water filter is several page in whereas it should be listed a one of the first thing to do in the setup i have also found the menu confusing but maybe that is just me have not yet mastered the automatic on setting but will persevere a the auto off appears to override this setting in summary a great machine but patience is needed to understand the various capability of fine tuning your coffee,"['not usability', 'usability', 'video']","[0.6190685033798218, 0.3140695095062256, 0.06686201691627502]"
115,hello guy i bought it exactly same coffe machine 8 month ago for couple time i use it but yesterday after month when turn on it try to get cappuccino is going like preparation underway is stop late flat white milk menu still same anyone know what is the problem thanks,"['usability', 'not usability', 'video']","[0.532134473323822, 0.4293183386325836, 0.03854721412062645]"
116,can you tell me how this is against the other delonghi machine the delonghi magnifica bean to cup coffee machine black ecam22 360b many thanks,"['usability', 'video', 'not usability']","[0.5815629959106445, 0.29143932461738586, 0.12699763476848602]"
117,the eletta can reach a much finer grind size and ha an active cup warmer for hotter beverage overall the result will be better on the eletta,"['usability', 'video', 'not usability']","[0.8926591277122498, 0.07013245671987534, 0.03720836713910103]"
118,f,"['video', 'usability', 'not usability']","[0.46856874227523804, 0.40333813428878784, 0.12809307873249054]"
119,is is possible to use the frother wand to make hot chocolate put the frother wand into metal jug of coco powder and milk like how baristers make them in costa and starbucks,"['usability', 'video', 'not usability']","[0.9648785591125488, 0.024872828274965286, 0.010248632170259953]"
120,absolutely this is one of the best feature of the frothing wand you can also use it for other drink like matcha latte liam,"['usability', 'video', 'not usability']","[0.9466099143028259, 0.04346288740634918, 0.009927208535373211]"
121,hi can you put chai or milo into the bypass doser,"['usability', 'video', 'not usability']","[0.7177691459655762, 0.2259865254163742, 0.056244317442178726]"
122,just put your milo in the cup first then go to milk menu and fill up with milk do not forget to set your froth dial to preferred level also if you do not want it all milk then simply add some hot water from hot water spout first before attaching the milk carafe,"['usability', 'video', 'not usability']","[0.8584793210029602, 0.10414083302021027, 0.0373799130320549]"
123,good question the bypass doser can clog when used with other thing such a tea or hot chocolate and so we only recommend using it with pre ground coffee,"['usability', 'not usability', 'video']","[0.4983719289302826, 0.41979464888572693, 0.08183346688747406]"
124,can you please tell me it is model no,"['not usability', 'video', 'usability']","[0.7272284626960754, 0.13755729794502258, 0.13521426916122437]"
125,the letter on the end change for each colour so s silver b black w white mine is ecam45760b,"['usability', 'video', 'not usability']","[0.8049768209457397, 0.14398741722106934, 0.051035769283771515]"
126,model is ecam45760s,"['usability', 'video', 'not usability']","[0.5553958415985107, 0.37094858288764954, 0.07365554571151733]"
127,man i need one of those,"['usability', 'video', 'not usability']","[0.6536778807640076, 0.25825583934783936, 0.0880662351846695]"
128,i am sold look amazing,"['video', 'usability', 'not usability']","[0.5949532985687256, 0.335036963224411, 0.07000966370105743]"
129,it sold out,"['not usability', 'usability', 'video']","[0.44308534264564514, 0.29915645718574524, 0.25775817036628723]"
130,dearly love to know how a test mode could be performed on this machine ta,"['usability', 'not usability', 'video']","[0.4414483606815338, 0.4204992353916168, 0.13805244863033295]"
131,what are the difference between this machine and the dinamica plus other than the 600 00 price difference,"['usability', 'video', 'not usability']","[0.38654783368110657, 0.3672800660133362, 0.24617210030555725]"
132,hi marc thanks for the review i have spent quite a while watching them if i wa not in the uk i would sure be purchasing from you despite the nice guy from gaggia in the uk trying to persude me to go manual and venture down the wand route i know myself too well so it will be a carafe model for me i have pretty much narrowed it down between the eletta but only with a carafe and not a wand option and the magenta prestige the prestige is about gbp150 more than the eletta do you think the gaggia is worth the extra i prefer the gaggia is look and the menu seems nore user friendly but gbp150 is a lot of coffee bean,"['usability', 'not usability', 'video']","[0.5269088745117188, 0.3755824863910675, 0.09750859439373016]"
133,hi mark what is the recommendation grind setting if i use lavazza super crema bean which setting would you like to set,"['usability', 'video', 'not usability']","[0.7473463416099548, 0.2083992063999176, 0.04425441846251488]"
134,whole latte love if it is you which number you would set,"['usability', 'video', 'not usability']","[0.6377497911453247, 0.28060057759284973, 0.08164963126182556]"
135,hi bryant when using a super auto for espresso i always start with the finest grind setting highest temperature and highest coffee dose if coffee is bitter you can back off on the grind setting from there,"['usability', 'video', 'not usability']","[0.6192329525947571, 0.29600095748901367, 0.08476611226797104]"
136,hi could anyone please tell me the difference between the delonghi eletta and the delonghi eletta evo machine i can find plenty info on the eletta but not the eletta evo thanks,"['usability', 'not usability', 'video']","[0.46045780181884766, 0.3697921633720398, 0.1697501242160797]"
137,recently i have noticed that the coffee ha become lighter with not enough crema and the colour is light a well no setting ha changed this ha happened just a few day ago any idea it seems that not enough coffee is being used but the amount of coffee is the same a it wa before just not rich enough,"['not usability', 'usability', 'video']","[0.676067590713501, 0.23962393403053284, 0.0843084380030632]"
138,what is the difference between this and the eletta evo,"['video', 'not usability', 'usability']","[0.3761099874973297, 0.3625979721546173, 0.261292040348053]"
139,hi i am a newbie on super automatic machine which i do not know anything about coffee machine i would like to have advise on how to use the delonghi dinamica machine which i had just bought a per check the grind size is around 5 i would like to make an espresso which is the same taste a i am having when going to starbucks a per check the flow is quite fast could you advise what is the best grinding setting recommend on this machine and do i need to turn to turn to 7 first and turn to 1 per click need to adjust while grinding how to know is this machine had extract the best espresso,"['usability', 'not usability', 'video']","[0.7333055734634399, 0.1742943376302719, 0.09240014106035233]"
140,any reply,"['usability', 'video', 'not usability']","[0.5133340954780579, 0.33017536997795105, 0.15649060904979706]"
141,whole latte love what about temperature should i set to medium or low so you would recommend to set to the finest setting for espresso if it get drip for single espresso tune it a bit courser am i right,"['usability', 'video', 'not usability']","[0.671917736530304, 0.24937154352664948, 0.07871074229478836]"
142,hey bw thanks for the question for best espresso flavor we always suggest setting super automatic machine grinder to their finest setting if the finest setting should cause the machine not to brew you can always set it a little coarser but not brewing at finest setting is rare when adjusting to a finer grind setting the grinder should be running when making the adjustment that is not possible on all machine a some have safety mechanism which prevent the grinder from operating whne been hopper door are open if that is the case for you only adjust 1 click in between each grinding can not compare flow rate of super auto machine to those of semi auto machine the brewing chamber in super auto is much different in geometry than the filter basket of semi auto machine beyond that coffee dos tend to be a lot smaller hope that help,"['usability', 'not usability', 'video']","[0.6282272338867188, 0.2376105934381485, 0.13416217267513275]"
143,great video when i am steaming the milk should i wait for the machine to stop or can i pressed to button and stop it myself if the milk is hot enough for me i wa worried that if i stop it would change the setting of steam i hope you understand my question thank you for your lovely review,"['video', 'usability', 'not usability']","[0.9401372075080872, 0.05505038797855377, 0.0048123858869075775]"
