url,series,model,Dimensions (wxdxh) (mm),Weight (Kg),Rated voltage/Frequency (V~Hz),Maximum cup height (mm),Pump pressure (bar),Water tank capacity (l),Input power (W),Beans container capacity (g),Grounds container capacity (n),Energy class,Milk carafe capacity (l),Used capsule container,Cups
https://www.delonghi.com/en/ecam21-117-b/p/ECAM21.117.B,Magnifica S,ECAM21.117.B,238x430x340,9,220-240 V / 50-60 Hz,142,15,1.8,1450,250,14,Better than A,,,
https://www.delonghi.com/en/ecam21-117-sb-magnifica-s-bean-to-cup-coffee-machines/p/ECAM21.117.SB,Magnifica S,ECAM21.117.SB,238x430x340,9,,142,15,1.8,,250,14,Better than A,,,
https://www.delonghi.com/en/ecam21-117-w-magnifica-s-bean-to-cup-coffee-machines/p/ECAM21.117.W,Magnifica S,ECAM21.117.W,238x430x340,9,,142,15,1.8,,250,14,A,,,
https://www.delonghi.com/en/ecam22-110-b-magnifica-s-automatic-coffee-maker/p/ECAM22.110.B,Magnifica S,ECAM22.110.B,230x430x340,9,220-240 V / 50-60 Hz,142,15,1.8,1450,250,14,Better than A,,,
https://www.delonghi.com/en/ecam22-110-sb-magnifica-s-automatic-coffee-maker/p/ECAM22.110.SB,Magnifica S,ECAM22.110.SB,230x430x340,9,220-240 V / 50-60 Hz,142,15,1.8,1450,250,14,Better than A,,,
https://www.delonghi.com/en/plnoautomatick%C3%BD-kavovar-magnifica-s-smart-ecam-250-23-sb/p/ECAM250.23.SB,Magnifica S,ECAM250.23.SB,240x440x360,9.2,220-240 V / 50-60 Hz,140,15,1.8,1450,250,14,Better than A,,,
https://www.delonghi.com/en/ecam250-31-sb-magnifica-s-smart-automatic-coffee-maker/p/ECAM250.31.SB,Magnifica S,ECAM250.31.SB,240x440x360,9.2,220-240 V / 50-60 Hz,140,15,1.8,1450,250,14,Better than A,,,
https://www.delonghi.com/en/ecam250-33-tb-magnifica-s-smart-automatic-coffee-maker/p/ECAM250.33.TB,Magnifica S,ECAM250.33.TB,240x440x360,9.2,220-240 V / 50-60 Hz,140,15,1.8,1450,250,14,Better than A,,,
https://www.delonghi.com/en/ecam290-21-b-magnifica-evo-automatic-coffee-maker/p/ECAM290.21.B,Magnifica Evo,ECAM290.21.B,240 x 440 x 360,9.4,220-240 V / 50-60 Hz,140,15,1.8,1450,250,14,A,,,
https://www.delonghi.com/en/ecam290-22-b-magnifica-evo-automatic-espresso-machine/p/ECAM290.22.B,Magnifica Evo,ECAM290.22.B,240 x 440 x 360,9.4,220-240 V / 50-60 Hz,140,15,1.8,1450,250,14,A,,,
https://www.delonghi.com/en/ecam290-31-sb-magnifica-evo-automatic-coffee-maker/p/ECAM290.31.SB,Magnifica Evo,ECAM290.31.SB,240 x 440 x 360,9.4,220-240 V / 50-60 Hz,140,15,1.8,1450,250,14,A,,,
https://www.delonghi.com/en/ecam290-42-tb-magnifica-evo-automatic-coffee-maker/p/ECAM290.42.TB,Magnifica Evo,ECAM290.42.TB,240x440x360,9.4,220-240 V / 50-60 Hz,140,15,1.8,1450,250,14,A,,,
https://www.delonghi.com/en/ecam290-61-b-magnifica-evo-automatic-coffee-maker/p/ECAM290.61.B,Magnifica Evo,ECAM290.61.B,240  x 360 x 440,9.6,220-240 V / 50-60 Hz,140,15,1.8,1450,250,14,A,,,
https://www.delonghi.com/en/ecam290-61-sb-magnifica-evo-automatic-espresso-machine/p/ECAM290.61.SB,Magnifica Evo,ECAM290.61.SB,240 x 440 x 360,9.6,220-240 V / 50-60 Hz,140,15,1.8,1450,250,14,A,,,
https://www.delonghi.com/en/ecam290-81-tb-magnifica-evo-automatic-espresso-machine/p/ECAM290.81.TB,Magnifica Evo,ECAM290.81.TB,240 x 440 x 360,9.6,220-240 V / 50-60 Hz,140,15,1.8,1450,250,14,A,,,
https://www.delonghi.com/en/ecam292-33-sb-magnifica-evo-automatic-espresso-machine/p/ECAM292.33.SB,Magnifica Evo,ECAM292.33.SB,240 x 440 x 360,9.4,220-240 V / 50-60 Hz,140,15,1.8,1450,250,14,A,,,
https://www.delonghi.com/en/ecam292-81-b-magnifica-evo-automatic-espresso-machine/p/ECAM292.81.B,Magnifica Evo,ECAM292.81.B,240 x 440 x 360,9.6,220-240 V / 50-60 Hz,140,15,1.8,1450,250,14,A,,,
https://www.delonghi.com/en/ecam350-15-b-dinamica-automatic-coffee-maker/p/ECAM350.15.B,Dinamica,ECAM350.15.B,236x429x348,9.5,220-240 V / 50-60 Hz,135,15,1.8,1450,300,14,Better than A,,,
https://www.delonghi.com/en/ecam350-35-w-dinamica-automatic-coffee-maker/p/ECAM350.35.W,Dinamica,ECAM350.35.W,236x429x348,9.5,220-240 V / 50-60 Hz,135,15,1.8,1450,300,14,Better than A,,,
https://www.delonghi.com/en/ecam350-50-sb-dinamica-automatic-coffee-maker/p/ECAM350.50.SB,Dinamica,ECAM350.50.SB,236x429x348,9.5,220-240 V / 50-60 Hz,135,15,1.8,1450,300,14,Better than A,,,
https://www.delonghi.com/en/ecam350-75-s-dinamica-automatic-coffee-maker/p/ECAM350.75.S,Dinamica,ECAM350.75.S,236x429x348,9.5,220-240 V / 50-60 Hz,135,15,1.8,1450,300,14,Better than A,,,
https://www.delonghi.com/en/ecam370-70-b-dinamica-plus-automatic-coffee-maker/p/ECAM370.70.B,Dinamica,ECAM370.70.B,236x429x348,9.5,220-240 V / 50-60 Hz,135,19,1.8,1450,300,14,Better than A,,,
https://www.delonghi.com/en/ecam370-85-sb-dinamica-plus-automatic-coffee-maker/p/ECAM370.85.SB,Dinamica,ECAM370.85.SB,236x429x348,9.5,220-240 V / 50-60 Hz,135,19,1.8,1450,300,14,Better than A,,,
https://www.delonghi.com/en/ecam370-95-s-dinamica-plus-automatic-coffee-maker/p/ECAM370.95.S,Dinamica,ECAM370.95.S,236x429x348,9.5,220-240 V / 50-60 Hz,135,19,1.8,1450,300,14,Better than A,,,
https://www.delonghi.com/en/ecam370-95-t-dinamica-plus-automatic-coffee-machine/p/ECAM370.95.T,Dinamica,ECAM370.95.T,236x429x348,9.5,220-240 V / 50-60 Hz,135,19,1.8,1450,300,14,Better than A,,,
https://www.delonghi.com/en/ecam44-620-s-cappuccino-automatic-coffee-maker/p/ECAM44.620.S,Eletta,ECAM44.620.S,260x460x360,10.2,,142,15,2,,400,14,Better than A,,,
https://www.delonghi.com/en/ecam44-660-b-eletta-cappuccino-automatic-coffee-maker/p/ECAM44.660.B,Eletta,ECAM44.660.B,260x460x360,11,,142,15,2,,400,14,Better than A,,,
https://www.delonghi.com/en/ecam46-860-b-eletta-cappuccino-evo-automatic-coffee-maker/p/ECAM46.860.B,Eletta,ECAM46.860.B,260x469x361,11,220-240 V / 50-60 Hz,122,15,2,1450,380,14,A,,,
https://www.delonghi.com/en/ecam510-55-m-primadonna-s-evo-automatic-coffee-maker/p/ECAM510.55.M,Prima Donna,ECAM510.55.M,238x470x350,11.5,,135,19,2,,250,14,Better than A,,,
https://www.delonghi.com/en/ecam550-65-sb-primadonna-class-automatic-coffee-maker/p/ECAM550.65.SB,Prima Donna,ECAM550.65.SB,260x469x361,11,220-240 V / 50-60 Hz,142,19,2,1450,380,14,Better than A,,,
https://www.delonghi.com/en/primadonna-class-ecam550-85-ms-automatic-coffee-maker/p/ECAM550.85.MS,Prima Donna,ECAM550.85.MS,260x469x361,11,220-240 V / 50-60 Hz,142,19,2,1450,380,14,Better than A,,,
https://www.delonghi.com/en/ecam610-55-sb-primadonna-soul-automatic-coffee-maker/p/ECAM610.55.SB,Prima Donna,ECAM610.55.SB,262x485x390,12.2,220-240 V / 50-60 Hz,140,19,2.2,1450,500,14,A,,,
https://www.delonghi.com/en/ecam610-74-mb-primadonna-soul-automatic-coffee-maker/p/ECAM610.74.MB,Prima Donna,ECAM610.74.MB,262x485x390,13,220-240 V / 50-60 Hz,140,19,22,1450,500,14,A,,,
https://www.delonghi.com/en/ecam610-75-mb-primadonna-soul-automatic-coffee-maker/p/ECAM610.75.MB,Prima Donna,ECAM610.75.MB,262x485x390,13,220-240 V / 50-60 Hz,140,19,2.2,1450,500,14,A,,,
https://www.delonghi.com/en/primadonna-soul-ecam612-55-sb-automatic-coffee-machine/p/ECAM612.55.SB,Prima Donna,ECAM612.55.SB,262x485x390,122,220-240 V / 50-60 Hz,140,19,22,1450,500,14,A,,,
https://www.delonghi.com/en/ecam650-75-ms-primadonna-elite-automatic-coffee-maker/p/ECAM650.75.MS,Prima Donna,ECAM650.75.MS,260x375x470,12.4,,142,15,2,,400,14,Better than A,,,
https://www.delonghi.com/en/ecam650-85-ms-primadonna-elite-experience-automatic-coffee-maker/p/ECAM650.85.MS,Prima Donna,ECAM650.85.MS,260x375x470,12.4,220-240 V / 50-60 Hz,142,19,2,1450,400,14,Better than A,,,
https://www.delonghi.com/en/eckg6821-m-manual-espresso-maker-and-electric-coffee-grinder/p/ECKG6821.M,Dedica,ECKG6821.M,149x330x304,4.2,220-240 V / 50-60Hz,120,15,1.1,1300,,,,,,
https://www.delonghi.com/en/ecov311-az-icona-vintage-manual-espresso-maker/p/ECOV311.AZ,Icona,ECOV311.AZ,255x290x315,4.1,,77,15,1.4,,,,,,,
https://www.delonghi.com/en/pump-espresso-coffee-machine-icona-vintage-ecov311-bg/p/ECOV311.BG,Icona,ECOV311.BG,255x290x315,4.1,220-240 V / 50-60 Hz,77,15,1.4,1100,,,,,,
https://www.delonghi.com/en/ecov311-bk-icona-vintage-pump-espresso-coffee-machine/p/ECOV311.BK,Icona,ECOV311.BK,255x290x315,4.1,220-240 V / 50-60 Hz,77,15,1.4,1100,,,,,,
https://www.delonghi.com/en/ecov311-gr-icona-vintage-pump-espresso-coffee-machine/p/ECOV311.GR,Icona,ECOV311.GR,255x290x315,4.1,220-240 V / 50-60 Hz,77,15,1.4,1100,,,,,,
https://www.delonghi.com/en/ecp35-31-manual-espresso-maker/p/ECP35.31,ECP35.31 Manual espresso maker,ECP35.31,185x240x305,4,,130,15,1.1,,,,,,,
https://www.delonghi.com/en/en510-b-lattissima-one-nespresso-coffee-machine/p/EN510.B,Lattissima,EN510.B,"38,5x19,5x35,5",4.2,220-240 V / 50-60 Hz,,19,1,1450,,,,0.165,10,
https://www.delonghi.com/en/en510-w-lattissima-one-nespresso-coffee-machine/p/EN510.W,Lattissima,EN510.W,"38,5x19,5x35,5",4.2,220-240 V / 50-60 Hz,,19,1,1450,,,,0.165,10,
https://www.delonghi.com/en/en650-b-gran-lattissima-nespresso-coffee-machine/p/EN650.B,Lattissima,EN650.B,203x367x274,5.2,220-240 V / 50-60 Hz,,19,1.3,1400,,,,0.5,10 capsules,
https://www.delonghi.com/en/en650-w-gran-lattissima-nespresso-coffee-machine/p/EN650.W,Lattissima,EN650.W,203x367x274,5.2,220-240 V / 50-60 Hz,,19,1.3,1400,,,,0.5,10 capsules,
https://www.delonghi.com/en/en750-mb-lattissima-pro-nespresso-coffee-machine/p/EN750.MB,Lattissima,EN750.MB,194x332x274,6.5,220-240 V / 50-60 Hz,,,1.3,1400,,,,0.5,13 capsules,
https://www.delonghi.com/en/env120-bm-vertuonext-nespresso-coffee-machine/p/ENV120.BM,Vertuo Next,ENV120.BM,142x429x314,4,220-240 V / 50-60 Hz,,Centrifusion Technology,1.1,1260,,,,,6 up to 10,
https://www.delonghi.com/en/env120-bw-vertuonext-nespresso-coffee-machine/p/ENV120.BW,Vertuo Next,ENV120.BW,142x429x315,4,220-240 V / 50-60 Hz,,Centrifusion Technology,1.1,1260,,,,,6 up to 10,
https://www.delonghi.com/en/env120-bwae-vertuonext-nespresso-coffee-machine/p/ENV120.BWAE,Vertuo Next,ENV120.BWAE,142x429x316,4.7,220-240 V / 50-60 Hz,,Centrifusion Technology,1.1,1260,,,,,6 up to 10,
https://www.delonghi.com/en/env120-c-vertuonext-nespresso-coffee-machine/p/ENV120.C,Vertuo Next,ENV120.C,142x429x317,4,220-240 V / 50-60 Hz,,Centrifusion Technology,1.1,1260,,,,,6 up to 10,
https://www.delonghi.com/en/env120-cae-vertuonext-nespresso-coffee-machine/p/ENV120.CAE,Vertuo Next,ENV120.CAE,142x429x318,4.7,220-240 V / 50-60 Hz,,Centrifusion Technology,1.1,1260,,,,,6 up to 10,
https://www.delonghi.com/en/env120-gy-vertuonext-nespresso-coffee-machine/p/ENV120.GY,Vertuo Next,ENV120.GY,142x429x319,4,220-240 V / 50-60 Hz,,Centrifusion Technology,1.1,1260,,,,,6 up to 10,
https://www.delonghi.com/en/env120-gyae-vertuonext-nespresso-coffee-machine/p/ENV120.GYAE,Vertuo Next,ENV120.GYAE,142x429x320,4.7,220-240 V / 50-60 Hz,,Centrifusion Technology,1.1,1260,,,,,6 up to 10,
https://www.delonghi.com/en/env120-w-vertuonext-nespresso-coffee-machine/p/ENV120.W,Vertuo Next,ENV120.W,142x429x323,4,220-240 V / 50-60 Hz,,Centrifusion Technology,1.1,1260,,,,,6 up to 10,
https://www.delonghi.com/en/env120-wae-vertuonext-nespresso-coffee-machine/p/ENV120.WAE,Vertuo Next,ENV120.WAE,142x429x323,4.7,220-240 V / 50-60 Hz,,Centrifusion Technology,1.1,1260,,,,,6 up to 10,
https://www.delonghi.com/en/epam960-75-glm-maestosa-automatic-coffee-maker/p/EPAM960.75.GLM,Maestosa,EPAM960.75.GLM,290x468x405,16.8,220-240 V / 50-60 Hz,142,19,2.1,1550,580,18,/,,,
https://www.delonghi.com/en/esam3000-b-magnifica-bean-to-cup-coffee-machines/p/ESAM3000.B,Magnifica,ESAM3000.B,285x375x360,10,,105,15,1.8,,200,14,A,,,
https://www.delonghi.com/en/esam3200-s-ex-1-magnifica-automatic-coffee-maker/p/ESAM3200.S%20EX%3A1,Magnifica,ESAM3200.S%20EX%3A1,285x375x360,10,,105,15,1.8,,200,14,A,,,
https://www.delonghi.com/en/esam4000-b-magnifica-bean-to-cup-coffee-machines/p/ESAM4000.B,Magnifica,ESAM4000.B,285x375x360,10,,105,15,1.8,,200,14,A,,,
https://www.delonghi.com/en/esam420-40-b-perfecta-evo-automatic-coffee-maker/p/ESAM420.40.B,Perfecta Evo,ESAM420.40.B,281x425x400,11.9,,135,15,1.4,,250,14,,,,
https://www.delonghi.com/en/esam420-80-tb-perfecta-evo-automatic-coffee-maker/p/ESAM420.80.TB,Perfecta Evo,ESAM420.80.TB,281x425x400,11.9,,135,15,1.4,,250,14,,,,
https://www.delonghi.com/en/esam4200-s-ex-1-magnifica-automatic-coffee-maker/p/ESAM4200.S%20EX%3A1,Magnifica,ESAM4200.S%20EX%3A1,285x375x360,10,220-240 V / 50-60 Hz,105,15,18,1450,200,14,A,,,
https://www.delonghi.com/en/esam460-75-mb-perfecta-deluxe-automatic-coffee-maker/p/ESAM460.75.MB,Perfecta Deluxe,ESAM460.75.MB,281x425x400,11.9,220-240 V / 50-60 Hz,135,15,1.4,1450,250,14,A,,,
https://www.delonghi.com/en/esam460-80-mb-perfecta-deluxe-automatic-coffee-maker/p/ESAM460.80.MB,Perfecta Deluxe,ESAM460.80.MB,281x425x400,41,220-240 V / 50-60 Hz,105,15,18,1100,200,14,A,,,
https://www.delonghi.com/en/icm16210-bk-filter-coffee-maker/p/ICM16210.BK,Clessidra,ICM16210.BK,170x310x350,2.3,,,,1.25,,,,,,,10
https://www.delonghi.com/en/icm16210-ws-icm16-series-filter-coffee-maker/p/ICM16210.WS,Clessidra,ICM16210.WS,170x310x350,2.3,,,,1.25,,,,,,,10
https://www.delonghi.com/en/icm16710-filter-coffee-maker/p/ICM16710,Clessidra,ICM16710,170x310x350,2.7,,,,1.25,,,,,,,10
https://www.delonghi.com/en/icm16731-filter-coffee-maker/p/ICM16731,Clessidra,ICM16731,170x310x350,2.7,,,,1.25,,,,,,,10
https://www.delonghi.com/en/icm17210-clessidra-filter-coffee-maker/p/ICM17210,Clessidra,ICM17210,188x280x330,2.5,120 V,,,1.25,1200,,,,,,10
