,sequence,labels,scores
18,the italian design build quality and feature have me with delonghi any day every breville coffee machine i have had just doe not last and fails with issue at every turn delonghi machine do what they say they will do and last long enough to enjoy them,"['not usability', 'usability', 'video']","[0.6923561692237854, 0.23192843794822693, 0.07571542263031006]"
19,i wish i can buy the blue breville unfortunately it is not available in australia,"['usability', 'not usability', 'video']","[0.47585347294807434, 0.30619117617607117, 0.21795542538166046]"
20,australia doe not get the blue colour,"['not usability', 'usability', 'video']","[0.48580673336982727, 0.2579835057258606, 0.25620973110198975]"
21,warning do not buy the delongi the breville barista express is way better than this machine the steam wand on this machine ruined the whole machine i have a similar steam wand on my shit box delongi dedica not very impressed with the steam wand delongi almost caught up to breville then pulled the pin with that rubbish steam wand that came from the delongi dedica i would rather buy the breville duo tempo from big w for only dollar299 than buy this rubbish machine for dollar650 go back to the drawing board delongi with your shit steam wand even better have different attachable steam wand i will never buy a delongi dedica even if it wa free because there steam wand are literally shit i prefer a steam wand with a tiny steam hole chump,"['not usability', 'usability', 'video']","[0.7853391170501709, 0.19780035316944122, 0.016860591247677803]"
22,hi thanks for the video i would like to ask you if i can grind bean for filter v60 coffee on barista pro thanks for your answer,"['video', 'usability', 'not usability']","[0.9082920551300049, 0.08173578977584839, 0.009972146712243557]"
23,no it can not go coarse enough,"['not usability', 'usability', 'video']","[0.764578104019165, 0.16601602733135223, 0.06940589845180511]"
24,i wa able to redistribute the grind and use the tamp manually on the delonghi machine by turning the dosage off on the dial i would suggest that you read the manual a it can be done without turning the machine off a mentioned in your video also here in oz there is a remarkable price difference dollar400 aud between the two that what swayed me towards the delonghi,"['video', 'usability', 'not usability']","[0.5625781416893005, 0.4308498203754425, 0.00657198391854763]"
25,this is the same number of step a turning the machine on and off and cause you to lose your dose dial position in most market the delonghi is slightly more expensive,"['not usability', 'usability', 'video']","[0.7034146785736084, 0.23429781198501587, 0.06228753924369812]"
26,doe anyone ever use the machine for starting a small coffeeshop business,"['usability', 'not usability', 'video']","[0.7559965252876282, 0.16655957698822021, 0.07744385302066803]"
27,no these are not appropriate for commercial use,"['not usability', 'video', 'usability']","[0.8994102478027344, 0.050318390130996704, 0.050271354615688324]"
28,great video i have a gift card for the de longhi do you know what is the largest ounce of americano it make i am excited for this review it seems to be great,"['video', 'usability', 'not usability']","[0.92437744140625, 0.06969601660966873, 0.005926608573645353]"
29,you missed a bit they are so over priced,"['not usability', 'video', 'usability']","[0.6522752046585083, 0.17751871049404144, 0.17020609974861145]"
30,the delonghi certainly is i would disagree that the barista pro is overpriced,"['usability', 'video', 'not usability']","[0.5633360743522644, 0.24259556829929352, 0.19406838715076447]"
31,now would it be better 2 get 1 of these 2 machine or the gaggia classic pro with a grinder all would be about same price,"['usability', 'not usability', 'video']","[0.4925629496574402, 0.37935277819633484, 0.12808428704738617]"
32,lifestyle lab awesome thanks for ur help,"['usability', 'video', 'not usability']","[0.5012844204902649, 0.4182721972465515, 0.0804433822631836]"
33,depends what drink you primarily make just espresso quality will be better with the gaggia and a seperate grinder however if you steam lot of milk the braista pro is considerably faster,"['usability', 'not usability', 'video']","[0.6970150470733643, 0.1523614227771759, 0.15062355995178223]"
34,i have a stupid question on the delonghi would not it be easier scooping the bean from the grinder when removing the lid than taking them out when the entire top portion of the grinder is removed,"['not usability', 'usability', 'video']","[0.742307186126709, 0.22385768592357635, 0.033835142850875854]"
35,it can but there is another non removable guard that stop you from getting them all out you will still have 100g or so left that will come splitting out,"['usability', 'not usability', 'video']","[0.4628472626209259, 0.42239490151405334, 0.11475785076618195]"
36,lifestyle lab maybe i did not make myself clear before i am referring to the cover that is taken off to fill the bean can not that cover be taken off so the bean could be scooped out to replace with new bean,"['usability', 'not usability', 'video']","[0.6709990501403809, 0.2300208956003189, 0.09898009896278381]"
37,not a stupid question grinder will ofter have burr guard or anti popcorn cone that cover the main chute making that not possible,"['usability', 'not usability', 'video']","[0.5685550570487976, 0.29881131649017334, 0.13263356685638428]"
38,great video please help when making a double shot espresso on the breville barista pro it stop after 15 second ive tried different grind setting and still the same how can i get the perfect double shot,"['video', 'usability', 'not usability']","[0.9029713869094849, 0.08759310841560364, 0.00943551491945982]"
39,you need to program the machine to run the shot longer using the programming mode,"['usability', 'video', 'not usability']","[0.4972383975982666, 0.4520640969276428, 0.050697509199380875]"
40,i had owned all model of breville coffee machine including the oracle and after a short break with coffee i bought the delonghi delonghi surprised me with the quality of milk it wa able to produce a well a the day to day consistency of the grinder espresso extraction timing and quality i am happy with it and will be looking to get the ec9665 top model soon,"['usability', 'not usability', 'video']","[0.6941102743148804, 0.15734334290027618, 0.14854638278484344]"
41,delonghi are cheaply made chinese machine,"['usability', 'video', 'not usability']","[0.716356098651886, 0.17822161316871643, 0.10542229562997818]"
42,i bought the delonghi yesterday so far so good,"['usability', 'video', 'not usability']","[0.7381301522254944, 0.22817417979240417, 0.03369569033384323]"
43,i have the delonghi and you can tamp w o turning it off just set the dosage dial all the way to the left after evening out the grind,"['usability', 'video', 'not usability']","[0.8853636980056763, 0.09435081481933594, 0.02028549090027809]"
44,1 this would lose your dose setting 2 this is the same number of step a turning the machine off on,"['not usability', 'usability', 'video']","[0.8947348594665527, 0.07712048292160034, 0.028144720941781998]"
45,you can redistribute the dose manually and prevent further grinding by lifting the tamper handle slightly off the microswitch i do that every time,"['usability', 'video', 'not usability']","[0.887961208820343, 0.07613400369882584, 0.035904813557863235]"
46,nice review bought one myself couple a month ago no need to switch off the machine for tamping turn the knob to dosing powder then grinding is off,"['usability', 'video', 'not usability']","[0.9572798013687134, 0.03700629994273186, 0.00571389589458704]"
47,except this will lose your dosing position and is the same number of step a just turning off the machine briefly,"['not usability', 'usability', 'video']","[0.8957088589668274, 0.08066722005605698, 0.023623906075954437]"
48,you do not have to turn off the delonghi to re tamp you could just move and leave leave the tamping lever to a vertical position not returning it to the horizontal that disables the grinder until the tamping lever is returned to it horizontal position personally i prefer to use a leveller redistributer after which you may not even need to tamp if you have enough dose the bean in the hopper thing is a bit annoying but then when i used to use breville grinder removing the hopper wa a pita to put back on anyway for home use i see no advantage to having a lot of bean in the hopper in the first place with the delonghi you can have just a few bean in the hopper and it will warn you if it think there are not enough bean to deliver a full dose there is a huge benefit to consistent dosing i had ton of setting on my breville grinder but the setting had a lot of slop and tended to drift so did not help much i hated the slow breville steamer because it introduced too much water into the milk i find it interesting that this review managed to make it look like these feature difference favored the breville,"['usability', 'not usability', 'video']","[0.6915166974067688, 0.17087993025779724, 0.13760337233543396]"
49,once you have used both machine you know the key advantage of delonghi is the integrated tamper with the sensor grinder it definitely minimises the mess and it is a win in long run if you do drink coffee everyday with your family,"['usability', 'video', 'not usability']","[0.8675395846366882, 0.09583161771297455, 0.03662881255149841]"
50,brevilles response is 3k only reason why i went with the delonghi tired of messy puck set ups,"['video', 'usability', 'not usability']","[0.6084713935852051, 0.2929505407810211, 0.0985780879855156]"
51,yes but a lifestyle lab pointed out the coffee is not evenly distributed and if you tamp down on it like that you will not get a good extraction a others have pointed out you can just lift the tamping lever to perhaps slightly past vertical remove the portafiler and redistribute the coffee and retamp this doe not make much mess especially since the sensor grinder dosed just about the right amount of coffee,"['usability', 'not usability', 'video']","[0.7437621355056763, 0.16394364833831787, 0.09229420125484467]"
52,those two feature are absolutely awesome wish more brand would integrate something similar,"['video', 'usability', 'not usability']","[0.43321457505226135, 0.39355799555778503, 0.17322738468647003]"
53,just got finished packing up the prestigio unpacking the barista touch and pulled a couple lukewarm shot i am scratching my head and thinking wtf have i done the prestigio is most certainly 100percent higher quality and i bought the upgraded version of the pro he featured in this review comparison the portafilter is much heavier by 16percent to be specific the whole machine is at least 10lbs heavier the water tank is better designed and more robust and the drip tray is by far a huge step up on the de longhi and the tamping system once you have it geez i do not know if i can be without it now it is so fast and clean and the smart grinding on the de longhi never overdoses even if you adjust the grind it is magic i feel completely duped by online review like this that put the breville on fake platform above all the others the people that buy a home espresso machine like this want something that is good value for the money reliable simple to use and effective we do not want a damn cafe lab in our kitchen with endless tweaking of this and that the de longhi prestigio did all that with flying color i am upset do not be misled by online review fml,"['usability', 'not usability', 'video']","[0.41436946392059326, 0.3872247338294983, 0.19840577244758606]"
54,yup the drip tray on my breville is used to drive me nut with their messy cleanup pulling out the delonghi to see hardly any ground and water in it is a joy every time the notion of opening a breville drip tray to get at gadget really made me smile,"['usability', 'not usability', 'video']","[0.756420910358429, 0.15323668718338013, 0.0903424546122551]"
55,unfortunately i do not think there is a way to quantify build quality but the filter basket portafilter on the delonghi is very rough to say the least remove the filter basket from both and then re install them the filter on the breville is identical to any standard espresso machine the delonghi is thin flimsy any completely proprietary i am looking at these machine from the perspective of someone who ha owned and reviewed a lot of espresso machine at a variety of price point,"['not usability', 'usability', 'video']","[0.6589245796203613, 0.2298230677843094, 0.11125241965055466]"
56,lifestyle lab no you shot down the prestigio on build quality and that is not fair and not a true representation i own many breville appliance 8 not including this touch machine so i am a dollarupporter but you got this one wrong man just own it v defend,"['usability', 'not usability', 'video']","[0.4479588568210602, 0.4108799993991852, 0.14116115868091583]"
57,the barista pro is a more capable machine when it come to drink quality hand down the prestigio is more convenience oriented this wa clearly explained in this video if you are getting lukewarm shot on the breville the portafilter wa likely not adequately warmed it should be hot to the touch this is true for any espresso machine you have not been duped or lied to you just need to learn to properly use the machine,"['video', 'usability', 'not usability']","[0.9107272028923035, 0.07536885142326355, 0.01390391681343317]"
58,do not buy this machine you do not use very specific bean lt it will jam the machine if you use even slightly oily bean and warranty will be void do not buy,"['not usability', 'usability', 'video']","[0.8767820596694946, 0.1040029376745224, 0.019214974716305733]"
59,that is not at all true,"['not usability', 'usability', 'video']","[0.921917736530304, 0.04067722707986832, 0.037404999136924744]"
60,i have the delonghi she is perfect you love breville your not objectiv,"['not usability', 'usability', 'video']","[0.44365257024765015, 0.3639088571071625, 0.19243855774402618]"
61,then why doe my latest video recommend a different delonghi over a breville just because i did not pick the machine you own doe not make my review not objective or true sorry friend,"['video', 'not usability', 'usability']","[0.8799981474876404, 0.10310332477092743, 0.01689847558736801]"
62,nice video,"['video', 'usability', 'not usability']","[0.9378864169120789, 0.060136813670396805, 0.001976759871467948]"
63,which dosing cup have you gone for to use with the breville doe anyone have a link what size fit,"['usability', 'video', 'not usability']","[0.7449144721031189, 0.1878204345703125, 0.067265085875988]"
64,here is a full list of accessory,"['usability', 'video', 'not usability']","[0.7576236724853516, 0.153143510222435, 0.08923278748989105]"
65,i have had several breville espresso product in the past 8 year and i can say that brewille is much much nicer and it doe worth the money after all it pay you back in no time compared to paying for coffee at coffee shop,"['usability', 'video', 'not usability']","[0.7190230488777161, 0.14191335439682007, 0.13906359672546387]"
66,absolutely just understand that it is a learning process,"['video', 'not usability', 'usability']","[0.37484657764434814, 0.3707300126552582, 0.2544233798980713]"
67,doe it make coffee a good a coffee shop though i spend dollar5 almost daily on starbucks and i guess i do not understand much about making your own espresso so with no knowledge about espresso or how to use the machine do you think i would be able to make coffee a good a coffee shop,"['usability', 'not usability', 'video']","[0.548005223274231, 0.36602821946144104, 0.08596650511026382]"
68,very informative and skilled young man you definitely knowwhat he talk about i have decided to buy a machine after going through my bill and found out that i am spending minimum 150 euro a month on nespresso capsels i am tempted to buy a pre owned miel 6350 under two year old brewed about 2000 unit for the amount of 350 euro but i am also looking at the sage barista pro semi automatic and therefore more work and it take also more attention from me but what about the tasete the quality of the espresso for my latte i only drink latte and always added with sugar is the semi granding me a better coffee or is the difference in taste so little that it is not the effort of doing the grinding and stamping my self worth what doe other people here think pls,"['usability', 'video', 'not usability']","[0.6849406957626343, 0.15788617730140686, 0.1571730673313141]"
69,bonjour i bought the delonghi is prestigio a couple of week while ago since i watched your video i understand why each cup of coffee with the same setting doe not taste the same turning off the machine before tempering is indeed a solution but for such an expensive machine pfffff what a disappointment i also noticed that when i have finally found the perfect setting for a great cup of single expresso and i push on 2 for a double the amount of coffee that come out is not the double of the weight of a single i am not sure to be clear enough that mean that the pressure change and that i get a complete different taste did you notice anything like that a third thing that i noticed ha to do with the steam nozzle the result of the milk froth is not always the same have of the time i get a result although i make it exactly the same way of course i tried many time with different kind of milk a you understand i am not satisfied at all with this machine and i regret i bought it could you please tell if you have noticed anything of what i wrote thanks juliette,"['video', 'usability', 'not usability']","[0.6132481694221497, 0.19615983963012695, 0.19059200584888458]"
70,very nice video it helped me figure out some stuff about my new la specialista machine i would have a question though is it normal that the pressure is under the optimal zone when i choose the coffee setting instead of espresso i am not changing anything else i would say it is normal because it doe not taste sour like an under extracted espresso shot but i may be wrong,"['video', 'usability', 'not usability']","[0.9151772260665894, 0.06748883426189423, 0.017333948984742165]"
71,yes it normal,"['usability', 'video', 'not usability']","[0.4730841815471649, 0.4164126217365265, 0.11050327122211456]"
72,great job very impressive,"['video', 'usability', 'not usability']","[0.5541523098945618, 0.39247554540634155, 0.053372107446193695]"
73,thanks for the informative video one thing with the tamping with the delonghi thee are two way of tamping without grinding either turn the dose knob all the way off to the little icon or just leave the lever party engaged both will stop the grinding also there appears to be a setting to change the grind not sure yet what that doe,"['video', 'usability', 'not usability']","[0.8934506177902222, 0.1009078174829483, 0.00564156286418438]"
74,rob mcqualter all you need is some after market attachment buy a dosing funnel,"['usability', 'video', 'not usability']","[0.6255466341972351, 0.3208111524581909, 0.05364217609167099]"
75,rob mcqualter yes the cleanliness of the delonghi compared to the breville i used to own or even the fully automatic delonghi i used to own is profound,"['usability', 'video', 'not usability']","[0.6229743957519531, 0.20420826971530914, 0.17281736433506012]"
76,for me upgrading from a pod machine the coffee quality is so much better the mess of tamping turned me off my basic espresso machine year ago so the cleanliness of the delonghi is a clear winner for me thanks for your balanced review that make it clear what feature may matter for different people,"['usability', 'video', 'not usability']","[0.5575991868972778, 0.23507852852344513, 0.20732223987579346]"
77,i see you have answered that before the second option to leave the tamping lever half engaged should be better than turning off the machine,"['usability', 'video', 'not usability']","[0.826090931892395, 0.12468127906322479, 0.04922780767083168]"
78,nice review appreciate it,"['usability', 'video', 'not usability']","[0.5879988670349121, 0.32744747400283813, 0.08455364406108856]"
79,i bet you work for breville cause this is the second video ive seen from you trying to promote breville and ignore the good feature on delonghi good luck,"['video', 'not usability', 'usability']","[0.9474592804908752, 0.03374134749174118, 0.0187993161380291]"
80,i will see what i had both of them side by side in my kitchen for a month i like how some people is immediate reaction to any sort of conclusive video is that there must be fraud involved by that logic do i also work for ember mug do i also work for rocket when i said their build quality kick the crap out of breville do i also work for gaggia when i said it is better value for money over the rancilio man i must be one corrupt guy,"['video', 'usability', 'not usability']","[0.8648542165756226, 0.12026767432689667, 0.01487814076244831]"
81,lifestyle lab just get one you will see,"['video', 'usability', 'not usability']","[0.47023478150367737, 0.45776811242103577, 0.07199706882238388]"
82,what feature did i ignore,"['not usability', 'video', 'usability']","[0.6779435276985168, 0.1654680371284485, 0.15658849477767944]"
83,great review clear and concise i love the delonghi is shiny sliver industrial looking machine that would look great in my kitchen however the breville seems to be the best machine for actually making coffee i like coffee and making it but am no expert so it would be a battle between my head and my heart to see which machine i parted my hard earned cash for,"['usability', 'video', 'not usability']","[0.8337676525115967, 0.09871231019496918, 0.06752005964517593]"
84,michael p smith thank you i did not realise that i have not upgraded my coffee machine yet but if when i do i will factor in the fact that the breville is available in chrome,"['not usability', 'usability', 'video']","[0.4823620319366455, 0.3353396952152252, 0.1822982132434845]"
85,you probably already know but the breville come in chrome a well,"['usability', 'video', 'not usability']","[0.8228541016578674, 0.13747166097164154, 0.0396742969751358]"
86,8 grind step are shit do not buy a delonghi,"['not usability', 'usability', 'video']","[0.8672729134559631, 0.1007971465587616, 0.031929951161146164]"
87,do not go for design,"['not usability', 'usability', 'video']","[0.7001006007194519, 0.19593089818954468, 0.10396850854158401]"
88,thank you for nice comparison for me clear winner delonghi because grinder work without any mess two home use only machine also i have full automatic crups machine with only 5 grind setting and believe me it work fine for making nice espresso this new model updated prestigio wa much improved machine will update my note after some use my delonghi on delivery already,"['usability', 'video', 'not usability']","[0.9365968704223633, 0.042836010456085205, 0.020567117258906364]"
89,regarding your comment of not being able to remove the coffee after grinding to redistribute if you grind the bean then after this ha finished move the dose dial to the pre ground setting you can remove the portafilter to redistribute the ground before replacing the portafiler to tamp without it grinding again only a small point but important to note thanks for the review,"['usability', 'not usability', 'video']","[0.7849488854408264, 0.14055895805358887, 0.07449215650558472]"
90,lifestyle lab good shout i did not think of that issue a i have the maestro which give you the dosing amount on an led screen i personally use my own wdt and tamper if i am making espresso but tend to use the built in one for the semi automatic milk drink if i am being lazy,"['usability', 'not usability', 'video']","[0.5321420431137085, 0.2857096791267395, 0.18214833736419678]"
91,yes but this result in the same number of step a just turning the machine off and you will likely shift your dose amount slightly each time so i thought the method i showed wa a bit better,"['not usability', 'usability', 'video']","[0.6683971285820007, 0.27691468596458435, 0.054688166826963425]"
92,are you sponsored by breville sage,"['video', 'usability', 'not usability']","[0.42011091113090515, 0.35077640414237976, 0.22911269962787628]"
93,no that is my fault it is because i usually tend to skip the whole intro part of any youtube video to avoid unnecessary introduction perhaps i should do that le frequently thanks for the fast clarification anyway,"['video', 'usability', 'not usability']","[0.7697298526763916, 0.15313281118869781, 0.07713735848665237]"
94,nope that would need to be disclosed did you listen to my very clear disclaimer at the beginning of the video,"['video', 'not usability', 'usability']","[0.8591544032096863, 0.07655084878206253, 0.06429474800825119]"
95,delonghi crap breville good done,"['video', 'usability', 'not usability']","[0.6762825846672058, 0.2584603726863861, 0.0652569904923439]"
96,i went to bed bath and beyond a few day ago and i compared the la specialista prestigio v the barista pro i think the delonghi ha a much higher build quality it is full stainless steel instead of the plastic feeling of the barista pro also the delonghi is much bigger and heavier with better build quality to the touch,"['usability', 'video', 'not usability']","[0.6389621496200562, 0.24241988360881805, 0.118617944419384]"
97,the barista pro is an all metal shell just in a matte painted finish it is also available in plain stainless steel,"['usability', 'video', 'not usability']","[0.8818494081497192, 0.08648998290300369, 0.03166062384843826]"
98,that is the best review thank you,"['usability', 'video', 'not usability']","[0.581111490726471, 0.3048487901687622, 0.11403971910476685]"
99,regarding the la specialista prestigio there actually is a way to grind pull out to redistribute and tamp afterwards without turning off the machine you just have to rotate the very left wheel used for dose quantity to the bottom left symbol that avoids the auto grinding when putting in the portafilter,"['usability', 'video', 'not usability']","[0.8882704377174377, 0.07299070060253143, 0.03873883932828903]"
100,how did i ignore it i said it wa completely unacceptable and that a dosing cup is a necessity,"['not usability', 'usability', 'video']","[0.5543689727783203, 0.337069034576416, 0.10856203734874725]"
101,lifestyle lab but you ignore the mess you make with breville i rather push a button to retamp than cleaning up the whole kitchen lol,"['usability', 'video', 'not usability']","[0.40499112010002136, 0.3648926615715027, 0.23011626303195953]"
102,very true however then you will also be potentially changing your dose because you might not put the dial back to the exact same spot not to mention it the same number of button push in the end whether you turn the machine off then on or turn the dial off then on,"['usability', 'not usability', 'video']","[0.579024076461792, 0.3452662229537964, 0.07570963352918625]"
103,what about the claim in the link below that prestigio make a bit sweeter espresso than breville due to new dynamic print fusion and consistent temping a well presigio brewing at 9 bar pressure with breville machine are extracting at 13 15 bar which can create an unpleasant harsh taste in the espresso a well high pressure are not recommended for non pressurized basket,"['usability', 'not usability', 'video']","[0.5020024180412292, 0.3003861606121063, 0.19761134684085846]"
104,lifestyle lab thanks,"['video', 'usability', 'not usability']","[0.4611874520778656, 0.4205990433692932, 0.11821354925632477]"
105,yes it definitely tougher to get good shot on the barista express due to the higher pressure many people modify the opv to lower it down,"['usability', 'video', 'not usability']","[0.6009873747825623, 0.35417142510414124, 0.044841162860393524]"
106,lifestyle lab thank you for the link so what they claim might be true for barista express,"['video', 'usability', 'not usability']","[0.47272470593452454, 0.4440559148788452, 0.08321943134069443]"
107,no the barista pro measure 9 bar with a blind basket this is the maximum pressure it will ever apply to the puck when the machine is completely choked,"['usability', 'not usability', 'video']","[0.4352814853191376, 0.4311181902885437, 0.13360030949115753]"
108,lifestyle lab i think the actual brewing pressure will depend on the density of the ground coffee in your basket since breville pro doe not have a pressure gauge you can not be sure what pressure you are brewing at this complicates the process and you guess two variable to get a satisfactory result the complexity let the owner pretend to be an expert but no one can say at what pressure they brew their espresso it can be 6 13 or even 15 bar so it look like they have reason to claim that prestigio make a slightly sweeter espresso since with a pressure gauge you can brew at 9 bar,"['usability', 'not usability', 'video']","[0.6335513591766357, 0.22799359261989594, 0.1384550929069519]"
109,ordering a pro today,"['usability', 'video', 'not usability']","[0.5118188261985779, 0.3670627772808075, 0.12111841142177582]"
110,very nice,"['video', 'usability', 'not usability']","[0.5642160177230835, 0.3985922038555145, 0.03719178959727287]"
111,7 minute 30 second ec9355 why do not you adjust the grinding stop to compress but have to turn off the machine to compress,"['video', 'usability', 'not usability']","[0.8086904287338257, 0.10393273830413818, 0.08737678080797195]"
112,lifestyle lab nah,"['not usability', 'usability', 'video']","[0.723278284072876, 0.16065791249275208, 0.11606386303901672]"
113,because this would mean moving the grinding dial and changing the dose i had dialed in you can try to put the dial back to the same spot but will never get it quite the same,"['not usability', 'usability', 'video']","[0.8160392642021179, 0.16420193016529083, 0.01975875347852707]"
114,no way we are looking past the de longhi la specialista maestro will you be doing a review on this machine,"['not usability', 'usability', 'video']","[0.6370490789413452, 0.2161630392074585, 0.14678792655467987]"
115,i do not think i will no at that price range the oracle is head and shoulder above the maestro,"['not usability', 'usability', 'video']","[0.5394665598869324, 0.35425567626953125, 0.10627777129411697]"
116,is there much difference between la specialista amp prestigio,"['video', 'not usability', 'usability']","[0.37490078806877136, 0.31833550333976746, 0.3067636787891388]"
117,lifestyle lab hahahahhahahaha,"['video', 'usability', 'not usability']","[0.5456974506378174, 0.2566538155078888, 0.19764865934848785]"
118,did you watch this video,"['video', 'usability', 'not usability']","[0.9636924862861633, 0.031916625797748566, 0.004390884190797806]"
119,lifestyle lab is it better in quality,"['video', 'usability', 'not usability']","[0.47764164209365845, 0.3248702585697174, 0.19748814404010773]"
120,no i recommend buying the barista pro over the la specialista,"['usability', 'not usability', 'video']","[0.5457407832145691, 0.28456324338912964, 0.1696959286928177]"
121,lifestyle lab so you prefer to buy prestigio i am very undecided prestigio is a bit more expensive idk if it worth,"['usability', 'video', 'not usability']","[0.47808852791786194, 0.34038811922073364, 0.18152335286140442]"
122,thank you for the video well i do not know if the manual is wrong or my new machine is faulty on page 16 of the manual programming espresso shot the manual say i should hear a beep once i press the button to stop the extraction i do not hear a beep i know it wa programmed because the extraction time that i chose is saved in subsequent shot it is a new machine and if i am suppose to hear the beep i will exchange it can someone assist please by confirming on their machine or follow page 16 of the manual and let me know the result,"['video', 'not usability', 'usability']","[0.8431896567344666, 0.08459201455116272, 0.07221835851669312]"
123,for the money and getting better shot the barista pro win on about everything just wished they left the pressure gauge on the updated model,"['video', 'usability', 'not usability']","[0.5612648129463196, 0.28286445140838623, 0.155870720744133]"
124,great comparison video,"['video', 'usability', 'not usability']","[0.9730003476142883, 0.023189807310700417, 0.003809826448559761]"
125,great video very clear and good explanation,"['video', 'usability', 'not usability']","[0.966565728187561, 0.03093590773642063, 0.0024983901530504227]"
126,i have the the delonghi and i do not have a problem with an uneven tamp i have been paying special attention to the tamping since watching this video,"['video', 'usability', 'not usability']","[0.8831446766853333, 0.10125729441642761, 0.01559799537062645]"
127,it may not look uneven on the surface but without proper distribution there will be some area that are more dense than others,"['video', 'not usability', 'usability']","[0.40923842787742615, 0.31070783734321594, 0.2800537049770355]"
128,hey man thanks for the video very informative keep up the good work loving your video,"['video', 'usability', 'not usability']","[0.9227715730667114, 0.06702464818954468, 0.010203775018453598]"
129,can you please review the quick mill pippa semi automatic espresso machine,"['usability', 'video', 'not usability']","[0.8297302722930908, 0.12749241292476654, 0.04277731478214264]"
130,great video a usual thank you,"['video', 'usability', 'not usability']","[0.9549593329429626, 0.04216364771127701, 0.00287708081305027]"
131,hmm i would recommend saving up a bit more money and buy a gaggia classic pro and a niche zero and enjoy far far better coffee these all in one machine are good for convenience but a gaggia and a good grinder will always produce a better result,"['usability', 'video', 'not usability']","[0.8150662183761597, 0.10231827944517136, 0.08261555433273315]"
132,great review really sad they still keep missing the mark on the delonghi cause i think some real competition to breville really doe not exist for built in grinder style machine i have heard the maestro is better but it is way to much money to basically just start competing with the breville barista pro,"['not usability', 'usability', 'video']","[0.44658318161964417, 0.38141244649887085, 0.17200438678264618]"
133,thanks again i inbnh,"['usability', 'video', 'not usability']","[0.5295281410217285, 0.3906732201576233, 0.0797986388206482]"
134,how about adjust the grind time to avoid overflowing and mess of the ground coffee just saying,"['usability', 'video', 'not usability']","[0.7890465259552002, 0.11832327395677567, 0.09263019263744354]"
